cityid,hotelname,locality,starrating,rent,freebreakfast,freewifi,pincode,hasswimmingpool,hoteldescription
12,Hotel Madhushrie,"Taj Express Way Link Road Crossing, Nunihai, Agra, Uttar Pradesh, 282006 India",3.5,2215,f,t,282006,f,"3.5-star hotel with restaurant, near Taj Mahal"
12,Hotel Royale Residency,"Near TDI Mall, Fatehabad Road, Agra, Uttar Pradesh, 282001 India",3,2768,f,t,282001,t,"3-star hotel with outdoor pool, near Taj Mahal"
12,Hotel Seven Hills Tower,"Jasoriya Enclave, Fatehabad Road, Opp. Dr. Rai Public School, Agra, Uttar Pradesh, India",3,3930,t,t,282001,t,"3-star hotel with 2 restaurants, near Taj Mahal"
12,Hotel Taj Heights,"A-14, Phase-II, Taj Nagari, Fatehabad Road, Agra, Uttar Pradesh, India",3,2071,f,t,282001,f,"3-star hotel with conference center, near Taj Mahal"
12,Hotel Taj Plaza,"Taj Mahal Eastern Gate, Near Taj Nature, Shilpgram 'VIP' Road, Agra, Uttar Pradesh, India",3,1819,f,t,282001,f,"Victorian hotel with 2 restaurants, near Taj Mahal"
12,Hotel Taj Prince,"Fatehabad Road, Taj Nagari Phase -1 Near Police Cho, Agra, Uttar Pradesh, India",2,1487,f,t,282001,f,"Hotel with restaurant, near Taj Mahal"
12,Hotel Taj Resorts,"538, Near Shilp Gram, Taj Mahal E Gate, Eastern Gate of Taj Mahal, Agra, Uttar Pradesh, India",4,3424,t,t,282001,t,"4-star hotel with outdoor pool, near Taj Mahal"
12,Howard Plaza The Fern,"Fatehabad Road, Agra, Uttar Pradesh, India",4,4999,f,t,282001,t,"4-star hotel with spa, near Taj Mahal"
12,Jaypee Palace Hotel,"Fatehabad Road, Agra, Uttar Pradesh, 282001 India",5,9280,t,t,282001,t,"Luxury hotel in Agra with 5 restaurants, spa"
12,Madhu Resorts,"NH-2 , Near Sikandra, Mathura Road, Agra, Uttar Pradesh, 282007 India",3,1995,f,t,282007,f,"3-star hotel in Agra with restaurant, conference center"
12,"Mango Hotels, Agra-Sikandra","Block No 66 & 73 NH-2, Delhi-Agra Road, Next to Dawar Industries, Agra, Uttar Pradesh, 282007 India",3,2687,f,t,282007,f,"3-star hotel in Agra with restaurant, bar/lounge"
12,Mansingh Palace,"Fatehabad Road Agra, Agra, Uttar Pradesh, India",4,5375,t,t,282001,t,"4-star hotel with outdoor pool, near Taj Mahal"
12,Maya Hotel & Restaurant,"18/184, Purani Mandi, Fatehabad Road, Agra, Uttar Pradesh, India",3,923,f,t,282001,f,"3-star hotel with restaurant, near Taj Mahal"
12,OYO Room MG Road Rakabganj Agra,"36/104/4A, MG Road, Opp. DM Residence, Agra, 282001 India",3,3171,t,t,282001,f,3-star hotel in Agra
12,OYO Rooms Taj Mahal East Gate,"10 Amarlok, Near Shilpgram Parking, Taj Link Road, Agra, India",3,3278,t,t,282001,f,"3-star hotel, convenient to Taj Mahal"
12,Optimum Tara Palace,"Shilp Gram Taj Mahal East Gate, Opposite Jalma Hospital, Taj Ganj, Agra, Uttar Pradesh, India",3,1795,f,t,282001,f,"3-star hotel with restaurant, near Taj Mahal"
12,Orient Taj Hotels And Resorts,"Fatehabad Road, Agra, 282004 India",4.5,4400,t,f,282004,t,"Luxury hotel with 2 restaurants, near Taj Mahal"
12,P L Palace Lords Inn Agra,"M G Road, Sanjay Place, Agra, Uttar Pradesh, 282002 India",4,2974,f,t,282002,t,"4-star hotel in Agra with indoor pool, restaurant"
12,Pyrenees Homestay,"22/2., R.K. Puram, phase-2, Taj Nagri, Agra, Uttar Pradesh, India",1,687,t,t,282001,f,"Hotel with restaurant, near Taj Mahal"
12,Radisson Blue Hotel Agra Taj East Gate Road,"Taj East Gate Road, Agra, Uttar Pradesh, 282001 India",5,7482,t,t,282001,t,"Luxuru hotel with 2 restaurants, near Taj Mahal"
12,Ramada Plaza Agra,"Ring Road Crossing, Fatehabad Road, Agra, Uttar Pradesh, 282001 India",5,7375,t,t,282001,t,"Luxury hotel in Agra with spa, outdoor pool"
12,Ray Of Maya Retreat and Resorts,"Purani Mandi, Fatehabad Road, Agra, Uttar Pradesh, India",2.5,2238,f,t,282001,f,"Hotel with restaurant, near Taj Mahal"
12,Rudra Vilas Agra,"Purani Mandi, Tajganj, Fatehabad Road, Agra, Uttar Pradesh, India",3.5,2219,f,t,282002,f,"3.5-star hotel with restaurant, near Taj Mahal"
12,Siris 18,"C 2/3, Taj Nagri, Phase-II, Fatehabad Road, Agra, Uttar Pradesh, 282001 India",3.5,2294,f,t,282001,f,"3.5-star hotel with 2 restaurants, near Taj Mahal"
12,Taj Villa,"A-21, Phase-2, Taj Nagri, Fatehbad Road, Agra, Uttar Pradesh, India",2,3040,t,t,282001,t,"Hotel with indoor pool, near Taj Mahal"
12,The Gateway Hotel Fatehabad RoadTop Hotel,"Taj Ganj Fatehabad Road, Agra, Uttar Pradesh, India",5,6438,t,t,282001,t,"Luxury hotel with spa, near Taj Mahal"
12,The Grand Imperial Heritage Hotel,"M.G. Road opposite to DM Bunglow, Near to Sai ki Takiya, Agra, Uttar Pradesh, 282001 India",4,4180,f,t,282001,t,"Luxury hotel in Agra with water park, spa"
12,The Oberoi Amarvilas,"Taj East Gate Road, Agra, Uttar Pradesh, India",5,49125,f,t,282001,t,"Luxury hotel with 2 restaurants, near Taj Mahal"
12,The Retreat,"Taj Nagri, Phase I, Shilpgram Road, Agra, Uttar Pradesh, India",3.5,4325,t,t,282001,f,"3.5-star hotel with restaurant, near Taj Mahal"
12,Treebo Rigel Inn,"31/172, Gol Market, Rajpur Chungi, Shamshabad Road, Agra, Uttar Pradesh, 282001 India",3,1913,t,t,282001,f,"3-star hotel with restaurant, near Taj Mahal"
12,Treebo White Inn,"21, Shilpgram Road, Taj Nagari -1, Near Shilpgram, Agra, India",3,1351,t,t,282001,f,"3-star hotel, convenient to Taj Mahal"
12,"Trident, Agra","Tajnagri Scheme, Fatehabad Road, Agra, Uttar Pradesh, 28 2001 India",4.5,7563,f,t,282001,t,"Luxury hotel with spa, near Taj Mahal"
13,Cambay Grand,"Near Perd Centre, Sola Over Bridge, Ahmedabad, Gujarat, 380054, India",4,4500,t,f,380054,t,4
13,Cambay Sapphire,"Plot No.X22, 23, and 24, GIDC, Sector25, Gandhinagar, Gujarat,  India",4,5000,f,f,382044,t,4
13,Country Inns & Suites By Carlson - Ahmedabad,"Surdhara Circle; Off Drive In Road, Ahmedabad, Gujarat, 380054, India",3.5,4259,t,t,380054,f,Suburban hotel in Ahmedabad with 2 restaurants
13,Courtyard by Marriott Ahmedabad,"Ramdevnagar Cross Road Satellite Road, Satellite, Ahmedabad, Gujarat, 380015 India",5,10088,t,t,380015,t,"Luxury hotel in Satellite with 2 restaurants, spa"
13,Crowne Plaza Ahmedabad City Centre,"S.G. Road near Shapath - V, Ahmedabad, Gujarat, 380015 India",5,13294,t,t,380015,t,"Luxury hotel in Ahmedabad with 3 restaurants, 2 bars/lounges"
13,Epsilon the Hotel,Opp. Kothawala Flats,3,2755,t,t,380006,f,City-center Ahmedabad motel with restaurant
13,Fortune Inn Haveli,"235 Sector 11, Gandhinagar, Gujarat, 382011, India",4,4988,t,f,382011,f,Gandhinagar upscale hotel with restaurant
13,Fortune Landmark,"Ashram Road, Ahmedabad, Gujarat, 380013, India",4,5792,t,t,380013,t,4
13,Fortune Park,"Opposite Gujarat College, Ellis Bridge, Ahmedabad, Gujarat, 380 006, India",4,4783,t,t,380006,f,Upscale hotel in Ahmedabad City Centre with restaurant
13,Ginger Ahmedabad,Behind Himalaya Mall Drive-In Road,3,2988,t,t,380015,f,3
13,HOTEL REZAAS,"375/1 Sheetal Baug, Gujarat, Mithakhali, Ellishbridge, Ahmedabad",3.5,3190,t,t,380006,f,City-center Ahmedabad hotel with restaurant
13,Holiday Inn Express Ahmedabad,"Ashram Road, Ahmedabad, Gujarat, 380013 India",3.5,3150,t,t,380013,f,3.5
13,Hotel Cosmopolitan Ahmedabad,"Opp Darshan Society, Darshan Society Rd,Near Stadium Circle, Navrangpura,Ahmedabad,Gujarat,India",3.5,3549,f,t,380009,f,3.5
13,Hotel El Dorado,"Opp Shree Krishna Complex, Across Cross World, Ahmedabad, Gujarat, 380009 India",3.5,3798,t,t,380009,f,Art Deco hotel in Ahmedabad City Centre with restaurant
13,Hotel FORMULE1 Ahmedabad-An AccorHotels Brand,Plot 38/1,2.5,1943,t,t,380015,f,No-frills Ahmedabad guestrooms with fireplaces
13,Hotel Grand Ambience,"Near Sidi Sayyed Masjid, Opp Dinbai tower, Lal Darwaja, Ahmedabad, Gujarat, 380001 India",3.5,2005,t,t,380001,f,3.5
13,Hotel Inder Residency,"Plot No 578/5, Opp Gujarat College, EllisBridge, Ahmedabad, Gujarat, 380006 India",3.5,3399,t,f,380006,t,3.5
13,Hotel Kadamb Inn,Ashram Road NR City Gold Cinema,2.5,2100,t,t,380009,f,No-frills hotel in Ahmedabad City Centre with bar/lounge
13,Hotel Nami Residency,"OPP VS HOSPITAL, ELLISBRIDGE ASHRAM ROAD, Ahmedabad, Gujarat, 380006 India",3.5,3724,t,t,380006,f,City-center Ahmedabad hotel with restaurant
13,Hotel Platinum Inn,B/S. Gujarat Gram Haat,3,3381,t,t,380007,f,Adults-only hotel in Ahmedabad with restaurant conference center
13,Hotel Ritz Inn,Station Road Kapasia Bazaar,3,3900,t,t,380002,f,3
13,Hotel Salute,Above Bata Showroom Opp Times of India,3,1937,t,t,380009,t,3
13,Hotel Silver Cloud Ahmedabad,Opp. Gandhi Ashram &amp; Dandi Bridge,3,3750,t,f,380027,f,3
13,Hotel Suba Star,"Judges Bungalow Road, Bodakdev, Opp. Premchand Nagar, Ahmedabad, Gujarat, 380054 India",3.5,3352,t,t,380054,f,3.5
13,Hotel Summit,Opp. Lal Bunglow C G Road,3,2950,t,t,380009,f,3
13,Hotel Vice President,Opp Bata Showroom Nr. Times of India,2.5,2637,t,t,380006,f,No-frills Ahmedabad hotel with restaurant
13,Hotel Volga,Near Ankelsharia Hospital,2,1750,f,t,380001,f,City-center hotel in Ahmedabad
13,Hyatt Ahmedabad,"Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015 India",5,5252,f,t,380015,t,"Luxury resort in Ahmedabad with 3 restaurants, spa"
13,Hyatt Regency Ahmedabad,"17/A, Ashram Road, Ahmedabad, Gujarat, 380014 India",5,5625,f,t,380014,t,"Luxury hotel in Ahmedabad with 3 restaurants, spa"
13,Krios Hotel,2 Devang Park Panjarapole Char Rasta,3,2944,t,t,380015,f,3
13,"Lemon Tree Premier The Atrium, Ahmedabad","Off Nehru Bridge, Sabarmati River Front, Ahmedabad, Gujarat, 380001, India",4,3833,t,t,380001,t,4
13,Novotel Ahmedabad,"ISKCON Cross Road, S.G. Highway, Next To Wide Angle Cinema, Ahmedabad, Gujarat, 380015 India",5,5950,t,t,380015,t,5
13,OYO Premium Ashram Road II,Near Champaner Society Usmanpura,3,8865,t,t,380013,f,Ahmedabad hotel next to shopping
13,OYO Premium Law Garden C G Road,Law Garden Cross Road,3,6227,t,t,380009,f,Ahmedabad City Centre hotel in shopping district
13,OYO Premium Shahibaug Airport Road,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",3,9872,t,t,380004,f,3
13,OYO Rooms Ahmedabad Station II,Station Road,3,2980,t,t,380002,f,Ahmedabad City Centre hotel next to shopping
13,OYO Rooms Ashram Road II,"1st Floor,Jivabhai Chamber,Opp BATA Showroom, Ashram Road,Ahmedabad,Gujarat,India",3,1745,f,t,380009,f,Ahmedabad City Centre hotel next to shopping
13,OYO Rooms Kankaria Lake Maninagar,Radhe Mall A Block Khokra Circle,3,2213,t,t,380026,f,Ahmedabad hotel next to shopping
13,OYO Rooms Near ONGC Chandkheda,2nd Floor Srushti Arcade,3,1702,t,t,380005,f,Ahmedabad hotel next to shopping
13,OYO Rooms Sola Bridge SG Highway,Malhar Complex,3,2086,t,t,380060,f,Ahmedabad hotel next to shopping
13,OYO Rooms Thaltej SG Highway,3rd Floor JB Tower,3,3379,t,t,380054,f,Ahmedabad hotel next to shopping
13,Parker Lords Eco Inn Ahmedabad,10 Vasant Baugh SocietyGulbai Tekra Rd,3,2700,t,t,380006,f,3
13,"Pride Plaza Hotel, Ahmedabad","Judges Bungalow Road, Off S.G. Road, Ahmedabad, Gujarat, 380054 India",4,4562,f,f,380054,f,4
13,Pristine Residency,"Next to S.V.P. International Airport, Airport Road, Ahmedabad, Gujarat, 382475 India",3.5,2830,t,t,382475,f,3.5
13,Radisson Blu Hotel Ahmedabad,"Near Panchvati Cross Roads, Off C.G. Road, Ahmedabad, Gujarat, 380006 India",4.5,5225,f,t,380006,t,"Luxury hotel in Ahmedabad City Centre with bar/lounge, health club"
13,Ramada Ahmedabad,"Corporate Road Opposite Prahla, Ahmedabad Polytechnic, Ahmedabad, Gujarat, 380015, India",4,4988,t,f,380015,f,Ahmedabad upscale hotel with 2 restaurants
13,"Regenta, Ahmedabad","15 Ashram Road, Ahmedabad, Gujarat, 380013 India",4,5014,t,t,380013,t,4
13,Sarovar Portico Ahmedabad,Bhawan&#39;s College Road,3,4350,t,t,380001,f,3
13,The Cloud Hotel,Near Khokhra Circle Maninagar(E),3,3625,t,t,380008,f,3
13,The Grand Bhagwati,"Opposite to Gurudwara, Near Thaltej Cross Road, S.G. Road, Ahmedabad, Gujarat, 380054 India",3.5,5213,t,t,380054,f,3.5
13,The House of MG,"Opp. Sidi Saiyad Jali, Lal Darwaja, Ahmedabad, Gujarat, 380001 India",3.5,5460,t,t,380001,t,"Historic hotel in Ahmedabad City Centre with spa, indoor pool"
13,The Metropole Hotel,"Near R.T.O. Circle, Subhash Bridge Corner, Ahmedabad, Gujarat, 380 027 India",4,3950,t,t,380027,f,"Riverfront hotel in Ahmedabad with restaurant, health club"
13,"Tune by Mango Hotels, Ahmedabad","4-D Square Mall, Visat-Gandhinagar Highway, Ahmedabad, Gujarat, 382424 India",3.5,1728,f,t,382424,f,3.5
31,Avaas Lifestyle Hotel,"12 Lawrence Road,,Amritsar,Punjab,India",3.5,4135,t,t,143001,f,"3.5-star hotel in Amritsar with restaurant, bar/lounge"
31,"Clarks Inn, Amritsar","14, District Shopping Complex, B- Block,Ranjit Avenue,Amritsar,Punjab,India",3,3070,f,t,143001,t,"Art Deco hotel in Amritsar with 3 restaurants, outdoor pool"
31,Country Inn & Suites By Carlson Amritsar,"Queens Road,,Amritsar,Punjab,India",3.5,4721,t,t,143001,t,"3.5-star hotel in Amritsar with 2 restaurants, outdoor pool"
31,FabHotel Orbion Mall Road,"36-A, Mall Road, Amritsar, Punjab, 143001, India",3,1650,f,t,143001,f,3-star Amritsar hotel with restaurant
31,Holiday Inn Amritsar Ranjit Avenue,"District Shopping Centre Ranjit Avenue,,Amritsar,Punjab,India",4,4554,f,f,143001,t,"4-star hotel in Amritsar with outdoor pool, bar/lounge"
31,Hotel Akaal Residency,"Sethi Building Chowk Baba Sahib,,Amritsar,Punjab,India",3,1524,f,t,143001,f,3-star Amritsar hotel with restaurant
31,Hotel Basera,"223, Queensroad, Amritsar, Punjab, India",3,1338,f,t,143001,f,"10 star hotel near Queensroad, Amritsar"
31,Hotel City Castle,"216 City Center, near Guru Nanak Bhawan, Opp Bus Stand Asr Hotel Lane 2, Amritsar, Punjab, 143001, India",3,1555,f,t,143001,f,Amritsar city-center guestrooms with fireplaces
31,Hotel City Heart,"Near Golden Temple,Opp. Jallianwala Bagh,Amritsar,Punjab,India",3,2525,f,f,143001,f,City-center Amritsar hotel with restaurant
31,Hotel City Park,"Near Post Office, Jallianwala Bagh,,Amritsar,Punjab,India",3,4255,f,t,143001,f,Amritsar city-center guestrooms with fireplaces
31,Hotel Namaskar Residency,"3, Queen's Road,Behind OBC Bank, Hotel Lane,Amritsar,Punjab,India",3.5,2900,f,t,143001,f,"3.5-star hotel in Amritsar with restaurant, 24-hour fitness"
31,Hotel Narula's Aurrum,"Narula's Mall, Mall Road,,Amritsar,Punjab,India",4,2424,f,t,143001,f,Amritsar upscale hotel with restaurant
31,Hyatt Amritsar,"Adjoining Alpha One City Center, MBM Farms, G.T. Road, Amritsar, Punjab, 143001, India",4.5,6494,f,t,143001,t,"Luxury hotel in Amritsar with 2 restaurants, spa"
31,OYO Rooms Queens Road,"Plot No. 3 Queen's Road,,Amritsar,,India",3,2718,t,t,143001,f,Amritsar hotel next to shopping
31,The Fern Residency Amritsar,"#33, The Mall,Sona Chandi Towers,Amritsar,,India",4,2650,t,t,143001,f,Amritsar upscale hotel with restaurant
31,WelcomHeritage Ranjits Svaasa,"47 A, The Mall Road,,Amritsar,Punjab,India",3,7781,t,t,143001,f,"Victorian hotel in Amritsar with spa, restaurant"
82,Aurick Boutique Hotel,"598, 15th Cross, 35th Main 6th Phase, JP Nagar, Bengaluru, Karnataka",4,2981,f,t,560078,f,"4-star hotel in Bengaluru with 2 restaurants, bar/lounge"
82,Bengaluru Marriott Hotel Whitefield,"8th Road Plot No 75 Epip Area,Whitefield,Bengaluru,Karnataka,India",5,10813,f,t,560066,t,"Luxury hotel in Whitefield with 3 restaurants, spa"
82,Casa Cottage,"No: 2, Clapham Street,Richmond Town,Bengaluru,Karnataka,India",3,3851,f,t,560025,f,City-center hotel within easy reach of Vidhana Soudha
82,Casa De Bengaluru,"873, 17E Main Road, 6th Block, Koramangala, Bengaluru, Karnataka",4,5609,t,t,560095,f,"Art Deco hotel in Koramangala with restaurant, health club"
82,Chairman's Resort,"No. 14/1, Kodigehalli Main Rd, Sahakar, Nagar, Hebbal (Near Twin Tower), Bengaluru",4,2050,t,t,560092,t,"3.5-star hotel in Bengaluru with 2 restaurants, spa"
82,Citrine Hotel,"# 211, S.C. Road,Seshadripuram,Bengaluru,Karnataka,India",3.5,3449,t,t,560020,f,"3.5-star hotel with restaurant, near Vidhana Soudha"
82,Citrus Bengaluru,"80/2 Marathahalli - Sarjapura Outer, Road, Bellandur, Bengaluru, Karnataka",4,4200,f,t,560103,f,"3.5-star hotel in Bengaluru with restaurant, bar/lounge"
82,Citrus Cunningham Road,"34, Cunningham Road, Bengaluru, Karnataka",4,5125,t,t,560052,t,"3.5-star hotel with outdoor pool, near Bangalore Palace"
82,Clarks Exotica Resort & Spa,"Swiss Town, Hollywood Junction,Sadahalli Post, Devanahalli Road,Devanahalli,Karnataka,India",4,7775,f,t,562110,t,"4-star resort in Devanahalli with 2 restaurants, spa"
82,Courtyard by Marriott Bengaluru Outer Ring Road,"Marathahalli Sarjapur Road, Bellandur, Bengaluru",4,8375,f,f,560103,t,"Luxury hotel in Bengaluru with 2 restaurants, spa"
82,Crowne Plaza ,"No 43 Electronic City, Hosur Rd",5,6895,t,t,560100,f,"Luxury hotel in Electronics City with 3 restaurants, spa"
82,Crowne Plaza Bengaluru Electronics City,"No 43 Electronic City,Hosur Rd,Bengaluru,Karnataka,India",5,7901,f,t,560100,t,"Luxury hotel in Electronics City with 3 restaurants, spa"
82,Davanam Sarovar Portico Suites,"Opp Madiwala Police Station, Hosur Main Road, Bengaluru, Karnataka",4,7438,t,t,560068,t,"4-star hotel in Koramangala with outdoor pool, restaurant"
82,DoubleTree Suites By Hilton Bangalore,"Iblur Gate, ORR- Sarjapur Road Junction,,Bengaluru,Karnataka,India",4.5,5938,f,f,560102,t,"Luxury hotel in Bengaluru with outdoor pool, restaurant"
82,FabHotel Berrys Marathahalli,"36/1, Outer Ring Road, Marathahalli, Bengaluru",3,2099,f,t,560103,f,"3-star hotel in Bengaluru with restaurant, conference center"
82,FabHotel De Oriell Koramangala,"No. 45, 17th Main, 100 Feet Road, 4th Block, Koramangala, Bengaluru, Karnataka",3,2506,f,t,560034,f,3-star hotel in Bengaluru
82,FabHotel Grand Continent JP Nagar,"No. 26, Bharat House Building, Co-operative society, BTM, Ward no, 65, Bengaluru, Karnataka, India",3,1195,f,t,560078,f,3-star hotel in Bannerghatta Road with restaurant
82,FabHotel Monarch Jayanagar,"Near BMTC Bus Stand, 28th C Cross Road, 4th Block, Jayanagar, Bengaluru, Karnataka",3,1397,f,t,560011,f,"3-star hotel, convenient to Bull Temple"
82,Fairfield By Marriott Bengaluru Outer Ring Road,"Outer Ring Road, Marathahalli Sarjapur Road, Bengaluru",4,5681,f,t,560103,t,"4-star hotel in Bengaluru with 2 restaurants, outdoor pool"
82,Fairfield By Marriott Bengaluru Rajajinagar,"59th C Cross, 4th M Block,rajaji Nagar, Bengaluru",4,4499,t,t,560010,f,"4-star hotel in Rajajinagar with outdoor pool, restaurant"
82,Fortune Select Trinity Bangalore,"134 - 136, Road No. 1,EPIP Area, Whitefield,Bengaluru,Karnataka,India",4,5469,f,t,560066,t,Abc
82,Goldfinch Hotel,"32/3 Cresent Road, High Grounds, Malleshwaram, Bengaluru",4,4469,t,t,560001,f,4-star hotel with spa
82,"Grand Mercure Bangalore, an Accor Hotels Brand","12th Main, 3rd Block, Kormangala, Near BDA Complex, Bengaluru, Karnataka",5,6688,f,t,560034,t,"Suburban hotel in Koramangala with 2 restaurants, spa"
82,Hilton Bangalore Embassy GolfLinks,"Embassy Golf Links Business Park, Bengaluru",5,6417,t,t,560071,t,"Luxury hotel in Bengaluru with outdoor pool, pool bar"
82,Hotel Premier Comforts,"17/2, Ayyappaswamy temple Road, Jalahalli Cross, Bengaluru",3,2848,t,t,560015,f,No-frills Bengaluru hotel with restaurant
82,Hotel T.A.P.Goldcrest,"#37, M.T.B. Road Near Minerva Circle, Parallel to J.C. Road",3,771,t,t,560002,t,City-center hotel within easy reach of Tipu's Summer Palace
82,Howard Johnson Bengaluru Hebbal,"132, Thanisandra Main Road, Near Manyat, Bengaluru, Karnataka, 560077, India",4,7518,t,t,560077,t,"4-star hotel in Bengaluru with outdoor pool, restaurant"
82,"Keys Hotel, Hosur Road",Opposite Volkswagen Show Room,4,2384,f,t,560068,f,"3.5-star hotel in Bengaluru with restaurant, bar/lounge"
82,La Marvella,"#1, 14th Cross, South-End Circle, 2nd block, Jayanagar, Bengaluru",4,5281,t,t,560011,t,"4-star hotel with spa, near Bull Temple"
82,Lords Plaza,"26-A Electronic City Phase I, Bengaluru",3,4437,t,t,560100,f,3-star Bengaluru hotel with 2 restaurants
82,"Mango Hotels, Bangalore-Koramangala II","8th Main 4th Block, Koramangala 4th Block, Bengaluru, Karnataka",3,2174,f,t,560034,f,Comfortable guestrooms in Koramangala with comfy beds
82,Mapple Express,"7 E, 1st Phase I.T.P.L Road, Mahadevapura, Bengaluru, Karnataka",4,2975,f,t,560048,f,"3.5-star hotel in Bengaluru with restaurant, bar/lounge"
82,Minla Hotel,"150 West of Chord Road, Yeshwantpur, 1st R Block, Rajajinagar, By Iskcon, Bengaluru",4,4107,t,t,560010,f,"3.5-star hotel with restaurant, near ISKCON Temple"
82,Movenpick Hotel & Spa Bangalore,"115 Gokula Extension, HMT Road, Near BEL Circle, Bengaluru, Karnataka, 560054 India",5,5875,f,t,560054,t,"Luxury hotel in Bengaluru with spa, indoor pool"
82,Nandhana Comforts Marathahalli,"1,Marathahalli Outer Ring Road, Bengaluru, Karnataka",3,1343,f,t,560037,f,"3-star hotel in Bengaluru with restaurant, bar/lounge"
82,Nandhana Grand,"52, 5th Cross, 6th Block, Kormangala, Bengaluru, Karnataka",3,2691,f,t,560095,f,3-star Bengaluru hotel with bar/lounge
