flight_number,airline,source_cityid,destination_cityid
509,GoAir,207,82
6733,TestIndigo,325,140
2386,AirAsia India,120,82
7001,SpiceJet,140,82
7189,TestIndigo,120,251
352,TestIndigo,207,13
439,Air India,140,120
727,TestIndigo,120,82
6142,TestIndigo,116,82
602,Air India,746,458
2933,SpiceJet,13,235
291,GoAir,207,82
663,TestIndigo,283,487
2042,TestIndigo,140,138
668,GoAir,325,13
112,TestIndigo,120,11
3645,TestIndigo,140,140
751,TestIndigo,13,283
2871,SpiceJet,140,212
3693,SpiceJet,279,207
5316,TestIndigo,771,458
873,TestIndigo,82,1070
2043,TestIndigo,138,13
691,SpiceJet,13,13
6128,TestIndigo,82,458
2622,TestIndigo,120,140
912,Vistara,210,140
568,TestIndigo,458,279
723,GoAir,325,140
858,Air India,702,140
5097,TestIndigo,140,140
8723,SpiceJet,140,458
2035,TestIndigo,140,101
353,GoAir,140,210
257,TestIndigo,102,458
426,Air India,251,140
548,AirAsia India,140,11
131,TruJet,207,1170
8701,SpiceJet,140,458
6188,TestIndigo,120,1019
650,Air India,31,458
103,SpiceJet,120,120
5323,TestIndigo,458,82
844,Vistara,140,458
381,GoAir,458,116
916,GoAir,283,120
621,Jet Airways,458,283
262,TestIndigo,82,140
6245,SpiceJet,458,131
674,SpiceJet,998,283
772,Air India,82,283
2613,GoAir,217,279
918,TestIndigo,283,140
683,Jetlite,458,487
640,SpiceJet,13,13
593,GoAir,140,102
919,Vistara,458,13
472,SpiceJet,140,207
1359,AirAsia India,210,82
2213,GoAir,487,82
540,AirAsia India,140,283
7958,TestIndigo,279,251
3739,SpiceJet,279,82
407,Jet Airways,458,279
8128,SpiceJet,120,120
7191,TestIndigo,212,207
253,GoAir,140,1157
133,Jet Airways,217,1148
2125,TestIndigo,120,140
425,SpiceJet,192,131
660,Air India,458,140
412,TestIndigo,82,82
7993,TestIndigo,23,283
144,Jetlite,116,210
622,Vistara,1157,458
579,GoAir,279,120
718,Vistara,635,82
608,Air India,82,458
864,Air India,458,140
148,GoAir,771,140
7982,TestIndigo,23,283
7315,TestIndigo,13,13
2902,TestIndigo,998,140
526,GoAir,82,458
3328,SpiceJet,283,1157
487,TestIndigo,131,207
3027,SpiceJet,120,279
740,SpiceJet,13,192
2603,GoAir,458,13
2805,SpiceJet,283,954
538,GoAir,283,13
2072,TestIndigo,138,140
935,Jet Airways,192,192
331,SpiceJet,140,339
725,Air India,635,31
510,AirAsia India,207,120
165,GoAir,140,635
346,AirAsia India,82,120
682,Air India,279,458
734,Jet Airways,1157,140
461,TestIndigo,120,207
195,TestIndigo,1019,82
988,Vistara,458,140
946,TestIndigo,283,207
821,Jet Airways,140,120
346,SpiceJet,192,120
771,Vistara,458,283
232,TestIndigo,82,82
311,TestIndigo,120,120
6457,TestIndigo,140,283
805,TestIndigo,82,82
331,AirAsia India,207,458
215,GoAir,140,210
850,Jet Airways,120,82
714,Vistara,102,82
745,TestIndigo,101,101
5339,TestIndigo,140,458
626,GoAir,207,251
284,TestIndigo,140,217
6929,TestIndigo,635,192
652,Air India,458,1179
435,TestIndigo,82,207
578,Air India,283,82
605,Jet Airways,140,192
503,TruJet,120,207
796,AirAsia India,13,140
470,Jet Airways,120,458
7051,SpiceJet,120,120
8185,SpiceJet,140,82
1720,AirAsia India,82,217
7959,TestIndigo,251,279
788,TestIndigo,283,207
388,GoAir,217,458
493,TestIndigo,120,1019
173,TestIndigo,140,120
455,Jet Airways,458,207
2195,TestIndigo,730,140
393,TestIndigo,102,82
124,TestIndigo,702,283
740,AirAsia India,140,82
6539,TestIndigo,192,207
249,SpiceJet,283,82
631,Air India,458,101
754,Air India,954,283
6202,TestIndigo,82,217
403,Air India,140,746
845,TestIndigo,207,140
736,SpiceJet,635,120
164,SpiceJet,82,13
501,GoAir,207,279
5387,TestIndigo,210,458
3428,SpiceJet,1070,82
827,TestIndigo,207,82
585,AirAsia India,192,283
620,Air India,207,458
208,TestIndigo,82,82
301,SpiceJet,1070,458
406,Jet Airways,279,458
825,Vistara,458,120
6073,TestIndigo,458,487
731,AirAsia India,140,702
7265,TestIndigo,279,283
180,GoAir,116,140
179,GoAir,140,116
670,Air India,102,458
815,Jet Airways,140,82
818,Jet Airways,140,325
922,TestIndigo,207,102
898,Jet Airways,101,458
812,Air India,325,140
941,Jet Airways,120,131
5035,TestIndigo,82,102
2753,SpiceJet,635,217
6004,TestIndigo,82,120
2923,SpiceJet,13,138
592,Air India,82,120
2934,SpiceJet,235,13
562,Air India,771,82
1355,AirAsia India,279,82
524,Air India,217,82
628,TestIndigo,458,207
117,GoAir,82,82
986,TestIndigo,279,120
6455,TestIndigo,116,140
2424,TestIndigo,140,325
224,TestIndigo,82,140
835,Jet Airways,140,138
2105,TestIndigo,140,235
803,GoAir,82,13
943,TestIndigo,140,325
6361,SpiceJet,458,131
271,TestIndigo,120,82
147,TestIndigo,82,207
7945,TestIndigo,12,1157
8968,SpiceJet,140,53
433,GoAir,120,210
2389,AirAsia India,82,120
6431,SpiceJet,207,207
244,TestIndigo,13,13
976,TestIndigo,251,82
2564,TestIndigo,140,1091
868,Jet Airways,120,82
1538,AirAsia India,82,1179
207,GoAir,140,325
732,GoAir,13,13
893,TestIndigo,13,82
7334,TestIndigo,730,210
613,AirAsia India,116,140
6324,TestIndigo,283,140
565,TestIndigo,458,82
544,GoAir,140,458
651,Vistara,458,116
585,SpiceJet,1179,283
2746,TestIndigo,140,1114
736,AirAsia India,702,140
634,Jet Airways,138,140
834,Jet Airways,140,82
420,Jet Airways,458,131
2610,GoAir,279,140
617,Air India,458,207
997,TestIndigo,82,82
174,TruJet,210,13
2783,TestIndigo,82,140
806,GoAir,217,82
791,Vistara,140,730
731,SpiceJet,120,207
144,TestIndigo,635,82
3301,SpiceJet,120,82
1056,SpiceJet,207,53
491,Jet Airways,120,210
513,Air India,207,140
830,Vistara,140,116
599,TestIndigo,207,283
564,TestIndigo,207,140
2696,SpiceJet,235,140
1215,TestIndigo,635,487
466,Air India,279,140
715,AirAsia India,140,140
452,Jet Airways,207,458
272,SpiceJet,140,283
6851,TestIndigo,13,120
7269,TestIndigo,771,283
642,GoAir,207,251
3501,Jet Airways,458,31
683,TestIndigo,140,120
43,TestIndigo,1085,1085
154,SpiceJet,53,140
2761,SpiceJet,702,207
728,TestIndigo,13,140
5304,TestIndigo,13,458
2335,AirAsia India,82,702
7107,TestIndigo,82,735
488,TestIndigo,11,82
3828,Air India,223,998
5056,TestIndigo,140,31
2021,SpiceJet,140,31
423,TestIndigo,140,13
1475,AirAsia India,1019,82
756,TestIndigo,102,120
819,Vistara,140,82
5041,TestIndigo,140,1114
2499,TestIndigo,771,82
5378,TestIndigo,116,458
541,TestIndigo,82,82
1057,SpiceJet,53,207
646,TestIndigo,140,210
517,GoAir,207,82
546,Air India,207,120
7131,TestIndigo,1085,120
2178,TestIndigo,1019,140
7961,TestIndigo,279,251
583,TestIndigo,102,279
111,TruJet,82,131
8745,SpiceJet,140,252
705,TruJet,13,686
6366,SpiceJet,283,458
2924,SpiceJet,138,13
112,TruJet,131,82
6271,TestIndigo,207,1114
413,Jet Airways,235,82
104,TestIndigo,207,31
615,Air India,458,207
768,Jet Airways,140,217
6159,TestIndigo,116,192
6232,TestIndigo,325,116
3607,SpiceJet,339,82
286,SpiceJet,192,140
719,GoAir,140,13
156,Jet Airways,210,283
3525,SpiceJet,120,207
8260,SpiceJet,138,140
6446,TestIndigo,458,325
352,Jetlite,140,458
759,SpiceJet,688,82
329,Jet Airways,458,13
355,SpiceJet,635,31
416,GoAir,192,120
993,Vistara,140,458
169,SpiceJet,140,82
2126,TestIndigo,140,140
697,GoAir,140,140
653,Jet Airways,487,140
448,Air India,53,458
8163,TestIndigo,458,1179
854,TestIndigo,283,140
206,GoAir,13,635
891,GoAir,487,702
994,Vistara,140,140
456,Jet Airways,207,458
968,TestIndigo,82,209
514,TestIndigo,1114,120
7319,TestIndigo,325,210
115,Air India,31,140
468,Jet Airways,120,458
7745,TestIndigo,207,487
723,Vistara,140,1157
2758,SpiceJet,13,31
7316,TestIndigo,210,325
281,TestIndigo,82,140
2013,TestIndigo,140,102
884,TestIndigo,210,207
5322,TestIndigo,82,458
655,Air India,458,746
401,TestIndigo,120,702
1214,SpiceJet,82,339
483,TestIndigo,207,82
8911,SpiceJet,140,458
912,GoAir,13,13
1426,AirAsia India,82,217
141,TestIndigo,120,102
894,TestIndigo,82,31
802,Air India,82,140
887,Jet Airways,82,131
2204,TestIndigo,730,140
471,TestIndigo,207,207
2174,TestIndigo,458,140
6107,TestIndigo,635,283
839,TestIndigo,217,82
814,GoAir,102,82
522,AirAsia India,283,120
951,TestIndigo,140,702
2763,SpiceJet,140,458
228,TestIndigo,13,210
668,Vistara,116,140
6523,TestIndigo,283,209
3735,SpiceJet,193,223
6389,TestIndigo,325,82
342,TestIndigo,102,82
3562,SpiceJet,217,31
137,Jet Airways,210,1148
551,TestIndigo,120,1179
755,Vistara,140,771
507,TestIndigo,82,207
2895,TestIndigo,31,140
6514,TestIndigo,82,116
5344,TestIndigo,458,120
6404,TestIndigo,487,458
7146,TestIndigo,1085,120
798,GoAir,998,223
903,TestIndigo,82,325
558,GoAir,207,325
515,AirAsia India,82,207
759,Jet Airways,120,120
7971,TestIndigo,120,102
2138,TestIndigo,116,140
6269,TestIndigo,82,82
6684,TestIndigo,207,140
413,SpiceJet,82,192
910,Vistara,458,140
656,Vistara,235,458
142,GoAir,458,487
648,Jet Airways,116,140
440,Jet Airways,702,116
2131,TestIndigo,140,82
7024,SpiceJet,13,207
109,GoAir,13,13
761,AirAsia India,140,120
768,SpiceJet,82,635
7977,TestIndigo,251,1070
713,SpiceJet,283,82
747,AirAsia India,998,140
3710,Air India,688,283
1048,SpiceJet,1091,207
247,TestIndigo,207,235
2588,TestIndigo,120,120
975,TestIndigo,82,251
8152,SpiceJet,140,140
852,Air India,702,140
456,SpiceJet,82,458
125,TestIndigo,13,283
1229,TestIndigo,1019,487
715,Jet Airways,140,82
6719,TestIndigo,207,13
792,Jetlite,210,140
7122,TestIndigo,101,207
468,SpiceJet,207,207
452,AirAsia India,13,13
744,AirAsia India,140,771
6477,SpiceJet,458,140
169,Jet Airways,140,1179
355,Jet Airways,53,140
644,Air India,1114,458
767,SpiceJet,635,82
509,Vistara,151,192
793,AirAsia India,13,140
6126,TestIndigo,140,140
639,Air India,458,82
307,SpiceJet,192,207
647,TestIndigo,1179,82
747,SpiceJet,702,207
713,AirAsia India,998,140
2074,TestIndigo,223,140
847,Jet Airways,120,140
3539,Jet Airways,702,635
344,TestIndigo,82,11
6406,TestIndigo,702,120
2502,GoAir,458,771
8046,TestIndigo,120,283
1071,SpiceJet,120,131
2164,TestIndigo,140,207
536,TestIndigo,82,120
7121,TestIndigo,82,101
168,SpiceJet,252,458
2166,TestIndigo,140,31
396,GoAir,325,82
1047,SpiceJet,207,1091
7719,TestIndigo,283,1157
586,TestIndigo,82,13
113,TruJet,82,1085
3217,SpiceJet,192,283
1724,AirAsia India,82,217
8710,SpiceJet,458,140
122,TestIndigo,13,207
936,TestIndigo,82,13
6171,TestIndigo,116,13
329,AirAsia India,116,458
3834,TestIndigo,13,120
432,SpiceJet,120,120
764,TestIndigo,458,1114
744,SpiceJet,13,82
197,TestIndigo,140,458
928,SpiceJet,13,82
456,AirAsia India,279,120
6172,TestIndigo,13,116
2616,TestIndigo,102,140
263,SpiceJet,140,283
1620,AirAsia India,82,207
129,GoAir,998,140
184,GoAir,325,140
6006,TestIndigo,120,207
2702,TestIndigo,140,1148
492,Jet Airways,120,458
844,GoAir,116,82
549,AirAsia India,283,140
1531,GoAir,279,207
916,Vistara,13,458
447,Air India,458,53
8905,SpiceJet,140,82
518,Vistara,13,140
531,TestIndigo,82,131
3408,SpiceJet,82,82
3474,SpiceJet,138,217
6893,TestIndigo,279,82
7153,TestIndigo,207,207
8146,SpiceJet,140,31
7991,TestIndigo,730,23
231,GoAir,140,635
914,TestIndigo,207,131
3589,SpiceJet,207,339
175,TruJet,13,210
609,TestIndigo,131,207
629,GoAir,251,1070
809,GoAir,82,487
784,Jet Airways,120,82
776A,Air India,82,283
1314,SpiceJet,339,207
6174,TestIndigo,13,120
428,GoAir,140,458
831,GoAir,82,82
354,TestIndigo,82,82
371,SpiceJet,283,31
6147,TestIndigo,82,82
3521,SpiceJet,31,217
2198,TestIndigo,140,1070
3554,Jet Airways,23,487
1305,GoAir,120,688
3598,SpiceJet,1170,207
571,Air India,13,13
775,SpiceJet,82,217
143,TestIndigo,120,102
404,TestIndigo,283,458
533,TruJet,120,842
597,Vistara,140,102
707,TestIndigo,102,209
365,Jetlite,140,702
591,Air India,120,82
101,TestIndigo,120,131
865,Vistara,458,82
6505,TestIndigo,82,82
2137,TestIndigo,140,120
701,GoAir,13,13
2808,TestIndigo,82,140
480,SpiceJet,101,223
933,Vistara,140,458
385,TestIndigo,11,11
308,AirAsia India,458,82
687,Air India,458,140
2976,TestIndigo,120,140
870,GoAir,82,1070
896,Jet Airways,101,458
634,SpiceJet,458,82
420,SpiceJet,283,207
2410,GoAir,120,1157
233,TestIndigo,82,120
963,SpiceJet,635,82
780,SpiceJet,138,458
3512,TestIndigo,82,31
463,Jet Airways,458,120
321,GoAir,458,140
886,Vistara,279,140
506,Vistara,207,140
720,TruJet,270,13
123,GoAir,207,102
1576,AirAsia India,82,207
598,TestIndigo,102,102
643,TestIndigo,140,702
414,TestIndigo,82,458
532,SpiceJet,82,140
220,TruJet,842,120
731,Jet Airways,635,140
476,TestIndigo,283,140
315,GoAir,217,120
795,TestIndigo,102,120
8915,SpiceJet,140,31
6636,SpiceJet,13,702
443,Jet Airways,458,82
7002,SpiceJet,82,140
673,Air India,458,192
8160,SpiceJet,140,140
327,GoAir,140,140
941,AirAsia India,82,82
890,Air India,192,140
570,Air India,458,120
622,GoAir,82,251
658,SpiceJet,192,82
718,GoAir,13,140
972,SpiceJet,1157,13
6289,SpiceJet,120,458
733,Jet Airways,140,1157
152,Jet Airways,1070,82
849,Jet Airways,82,120
959,Vistara,140,13
5313,TestIndigo,458,283
504,TestIndigo,140,217
8752,SpiceJet,635,140
3455,SpiceJet,53,13
957,TestIndigo,140,82
191,TruJet,207,1179
5348,TestIndigo,82,458
556,AirAsia India,120,120
192,GoAir,140,140
780,AirAsia India,209,140
193,Jet Airways,192,13
454,GoAir,217,1019
736,Jet Airways,120,140
6637,SpiceJet,702,82
882,AirAsia India,458,140
786,Jet Airways,702,140
2562,TestIndigo,82,140
972,AirAsia India,82,207
465,Air India,140,279
134,GoAir,635,140
226,TestIndigo,138,82
7106,TestIndigo,1091,82
431,Air India,140,325
2423,TestIndigo,140,82
7199,TestIndigo,120,339
632,TestIndigo,116,82
3348,SpiceJet,192,283
484,Jet Airways,458,283
753,Air India,283,954
995,TestIndigo,207,13
760,SpiceJet,635,82
6067,TestIndigo,82,207
7715,TestIndigo,174,174
301,Jet Airways,458,140
7973,TestIndigo,251,82
3829,Air India,998,223
213,GoAir,140,223
606,Air India,53,53
406,SpiceJet,283,13
6249,TestIndigo,283,207
511,Air India,279,140
202,TruJet,120,207
2752,TestIndigo,120,140
417,TestIndigo,152,140
335,TestIndigo,192,82
2438,SpiceJet,140,101
6319,TestIndigo,207,82
714,GoAir,13,140
581,GoAir,207,279
211,TruJet,207,53
194,TestIndigo,207,1091
363,GoAir,458,13
246,TestIndigo,13,13
6251,TestIndigo,116,120
932,TestIndigo,283,82
712,TestIndigo,458,730
389,TestIndigo,82,82
411,TestIndigo,82,102
3777,Air India,11,11
6114,TestIndigo,11,11
308,SpiceJet,458,13
6365,SpiceJet,458,283
1221,SpiceJet,212,82
7734,TestIndigo,13,101
3553,Jet Airways,487,23
645,Jet Airways,140,116
588,TestIndigo,138,325
782,Vistara,102,140
502,TestIndigo,120,702
2978,TestIndigo,209,140
878,GoAir,82,1070
657,Air India,458,131
374,Jet Airways,458,325
771,GoAir,1070,82
356,SpiceJet,31,635
3561,SpiceJet,31,217
911,Jet Airways,279,140
745,AirAsia India,771,140
461,SpiceJet,120,635
992,Jet Airways,954,140
766,TestIndigo,207,140
6836,TestIndigo,207,1157
462,TestIndigo,192,11
978,Jet Airways,131,120
3549,Jet Airways,82,138
929,Vistara,458,13
796,TestIndigo,120,730
426,GoAir,82,140
314,Jet Airways,458,13
306,SpiceJet,283,82
2106,GoAir,283,487
186,GoAir,140,120
2026,TestIndigo,140,1148
519,Air India,82,82
5057,TestIndigo,31,140
665,TestIndigo,140,140
331,TestIndigo,82,152
128,SpiceJet,1019,140
3556,Air India,746,140
358,Jet Airways,140,458
449,Jet Airways,82,458
167,Jet Airways,140,1114
720,Jet Airways,635,140
177,TestIndigo,140,702
1912,GoAir,13,120
444,Jet Airways,82,458
678,SpiceJet,120,458
6274,TestIndigo,101,82
3028,SpiceJet,279,120
3472,SpiceJet,1179,283
543,TestIndigo,279,13
7116,TestIndigo,207,1085
487,SpiceJet,458,283
6131,TestIndigo,192,102
6305,TestIndigo,210,207
944,GoAir,635,140
593,Air India,120,13
574,Air India,635,82
641,Jet Airways,140,116
6215,TestIndigo,13,120
3251,SpiceJet,120,1179
6124,TestIndigo,138,283
955,GoAir,120,635
6152,TestIndigo,131,192
6891,TestIndigo,82,102
1565,AirAsia India,102,82
323,SpiceJet,120,120
3531,Jet Airways,140,23
788,AirAsia India,140,192
554,TestIndigo,13,140
153,SpiceJet,140,53
794,Jet Airways,210,140
2938,SpiceJet,138,13
8259,SpiceJet,140,138
6266,SpiceJet,192,458
776,Jet Airways,82,702
317,GoAir,458,82
841,SpiceJet,140,998
2014,TestIndigo,140,102
348,Jet Airways,458,207
3791,SpiceJet,279,1070
6936,TestIndigo,487,458
6422,SpiceJet,283,458
304,GoAir,120,120
193,TruJet,207,1179
132,TestIndigo,131,82
77,Air India,140,102
852,Vistara,82,458
249,TestIndigo,140,140
566,TestIndigo,82,458
6429,SpiceJet,458,252
684,Jetlite,487,458
1427,GoAir,283,120
509,Air India,120,279
644,Vistara,998,140
124,SpiceJet,207,140
6841,TestIndigo,1157,13
678,AirAsia India,458,192
689,TestIndigo,635,283
953,Vistara,140,458
2195,SpiceJet,140,212
136,SpiceJet,82,140
876,Jet Airways,120,82
703,GoAir,217,217
173,SpiceJet,283,13
301,TruJet,1170,237
497,Air India,140,746
708,Jet Airways,210,13
493,SpiceJet,82,134
6414,TestIndigo,13,120
176,TruJet,210,13
7963,TestIndigo,925,283
301,Jetlite,458,140
6154,TestIndigo,283,217
439,GoAir,458,140
709,Jet Airways,210,235
788,SpiceJet,82,140
572,TestIndigo,138,283
656,Air India,746,458
324,GoAir,140,458
807,Jet Airways,140,82
397,Jet Airways,458,82
769,TestIndigo,140,140
925,Jet Airways,140,217
2520,GoAir,487,140
341,SpiceJet,207,192
7946,TestIndigo,1157,12
435,SpiceJet,458,746
6182,TestIndigo,458,101
1731,AirAsia India,279,82
496,Air India,746,140
2214,TestIndigo,140,102
495,Air India,140,746
7744,TestIndigo,251,207
284,SpiceJet,458,82
2411,GoAir,1157,82
6645,TestIndigo,13,131
785,Vistara,140,102
596,TestIndigo,192,283
204,GoAir,998,140
151,Jet Airways,82,1070
481,Jetlite,458,82
199,TestIndigo,458,82
745,SpiceJet,82,82
668,Air India,1070,458
3781,SpiceJet,101,13
5922,TestIndigo,31,283
6573,TestIndigo,120,120
5374,TestIndigo,635,458
954,GoAir,207,120
5034,TestIndigo,140,82
763,AirAsia India,140,120
858,GoAir,702,487
6115,TestIndigo,13,120
2412,GoAir,82,1157
311,SpiceJet,140,53
232,SpiceJet,192,140
346,TestIndigo,82,131
445,TestIndigo,102,82
7266,TestIndigo,210,207
946,SpiceJet,140,688
306,AirAsia India,82,458
209,TruJet,120,471
294,GoAir,82,207
8144,SpiceJet,140,635
655,Vistara,458,235
243,GoAir,13,458
8193,SpiceJet,140,13
1227,TestIndigo,101,487
8394,SpiceJet,140,283
913,GoAir,13,13
7988,TestIndigo,283,23
3555,Air India,140,746
6779,TestIndigo,82,13
6557,TestIndigo,207,120
623,Jet Airways,458,283
375,AirAsia India,210,458
568,SpiceJet,82,82
478,TestIndigo,31,31
915,GoAir,120,283
657,Vistara,140,998
7050,SpiceJet,120,120
860,Vistara,207,140
548,TestIndigo,120,116
691,TestIndigo,82,210
2989,SpiceJet,217,1114
738,Jet Airways,13,458
614,TestIndigo,192,140
705,SpiceJet,207,82
5329,TestIndigo,458,82
7924,TestIndigo,138,23
320,SpiceJet,458,339
511,Vistara,140,279
6156,TestIndigo,207,283
8661,SpiceJet,140,746
626,Air India,325,458
751,SpiceJet,131,207
3722,SpiceJet,101,101
276,GoAir,207,1070
127,GoAir,140,140
956,Jet Airways,140,236
885,Vistara,140,279
960,SpiceJet,82,192
431,Vistara,140,120
663,SpiceJet,140,223
638,Jet Airways,998,140
528,TestIndigo,82,82
6290,SpiceJet,138,458
2511,GoAir,140,635
1829,AirAsia India,283,82
7214,TestIndigo,82,339
724,SpiceJet,252,82
3747,SpiceJet,82,151
758,TestIndigo,13,82
379,GoAir,102,116
2289,TestIndigo,82,82
5336,TestIndigo,140,140
6173,TestIndigo,120,207
278,GoAir,702,140
753,Vistara,140,771
352,SpiceJet,82,13
6421,SpiceJet,458,283
7119,TestIndigo,735,82
631,GoAir,207,1070
6009,TestIndigo,131,207
479,Air India,140,31
777,SpiceJet,120,207
305,GoAir,120,120
702,Jet Airways,138,458
3282,SpiceJet,212,283
792,Jet Airways,210,140
3744,Air India,11,283
783,SpiceJet,458,192
974,TestIndigo,82,120
5062,TestIndigo,1070,140
6282,SpiceJet,458,279
7108,TestIndigo,735,207
673,Vistara,140,1157
425,TestIndigo,82,120
227,TestIndigo,210,13
6273,TestIndigo,82,82
6012,TestIndigo,82,120
313,GoAir,210,13
1458,AirAsia India,82,1179
6992,TestIndigo,13,82
982,Jet Airways,283,702
727,AirAsia India,207,140
392,Jetlite,207,140
325,TestIndigo,192,82
2764,SpiceJet,1019,217
890,Vistara,207,140
960,AirAsia India,140,192
781,GoAir,283,13
506,Air India,140,82
783,AirAsia India,140,192
7216,TestIndigo,120,251
924,Vistara,13,82
472,TestIndigo,207,458
1573,AirAsia India,279,82
947,SpiceJet,458,746
888,Jet Airways,131,82
846,Jet Airways,140,31
6364,SpiceJet,458,207
526,Air India,283,207
1539,AirAsia India,1179,82
2963,TestIndigo,140,82
201,TestIndigo,82,101
866,GoAir,82,207
865,Air India,140,458
674,TestIndigo,13,13
934,Jet Airways,210,702
692,SpiceJet,13,13
559,AirAsia India,140,140
591,Vistara,140,31
1982,AirAsia India,82,192
375,SpiceJet,252,283
8935,SpiceJet,140,131
597,Air India,120,283
6846,TestIndigo,82,1019
3084,SpiceJet,82,131
6852,TestIndigo,635,13
1911,GoAir,120,13
899,Vistara,140,207
2473,AirAsia India,283,82
2504,GoAir,458,13
2063,TestIndigo,140,210
436,Jet Airways,458,279
538,Air India,458,140
140,GoAir,140,635
2380,AirAsia India,102,82
103,TestIndigo,702,82
8475,SpiceJet,1019,140
175,Jet Airways,217,325
737,TestIndigo,210,82
114,TestIndigo,138,140
437,TestIndigo,31,120
751,AirAsia India,210,140
2606,GoAir,458,325
149,Jet Airways,140,138
7179,TestIndigo,339,279
630,GoAir,1070,207
705,AirAsia India,116,140
594,GoAir,702,279
2519,GoAir,140,487
312,Jet Airways,140,458
145,TestIndigo,102,120
442,GoAir,140,120
257,SpiceJet,458,1157
319,TestIndigo,120,82
307,Jetlite,458,140
234,GoAir,1157,140
163,GoAir,325,283
407,TestIndigo,82,82
787,Air India,283,688
539,Air India,120,120
474,Jet Airways,458,120
359,AirAsia India,82,13
2841,TestIndigo,140,102
828,Air India,998,140
5327,TestIndigo,283,458
637,Vistara,140,116
706,GoAir,771,458
494,Air India,1019,140
2273,TestIndigo,140,82
133,TestIndigo,82,82
793,Jetlite,140,210
3737,SpiceJet,82,193
651,Air India,458,458
553,AirAsia India,140,116
7717,TestIndigo,283,635
237,GoAir,140,771
702,AirAsia India,13,140
1582,AirAsia India,82,207
