train_no,station_code,seq
69161,BSR,10
12493,RTM,8
95746,TNA,3
12328,BXR,11
15055,SRNK,9
12843,ADI,43
22955,BHUJ,22
12229,MB,6
12954,ADH,12
25035,MB,1
54783,MKS,8
12833,BH,6
51433,NZB,1
22616,CBE,1
40027,MSB,1
12839,OGL,32
19223,FDK,31
22608,SBC,1
12880,SBP,6
9004,NZM,1
16791,KTYM,19
64064,PWL,13
69151,BL,1
12228,RTM,3
95119,KJT,9
19707,JP,39
13133,SNT,9
18612,BSB,1
97038,DR,17
14796,PNP,1
22150,PNVL,2
40113,MS,4
12305,CNB,8
57549,BMT,3
12645,AGC,26
19715,CNB,16
12357,SSM,6
12355,SRE,14
16508,PMY,42
12332,SLN,14
97395,TNA,17
40385,MS,4
12331,LDH,27
19028,BRC,29
58402,CTC,14
14866,IDH,20
98116,PNVL,1
40389,MS,4
51974,JP,1
95708,TNA,8
95714,DR,12
17603,ATP,10
12194,KCG,12
12226,RDL,8
12251,BYT,20
74848,RE,28
11652,SGRL,1
19312,ST,10
97144,DR,17
64091,DSB,18
12332,LKO,12
12043,TUN,4
74912,JUC,1
12617,TCR,3
11035,PUNE,5
14863,JP,22
22972,STA,3
97336,TNA,1
56650,CLT,20
22685,YPR,1
12881,PURI,9
12656,MKU,28
12265,DEE,1
98038,PNVL,1
12104,ORAI,3
12419,PNK,4
12816,CNB,3
40373,MS,4
14682,MTC,18
66523,SBC,1
16188,PTJ,11
12765,TPTY,1
14257,TLH,22
22182,JBP,15
12759,NLR,5
19407,PNU,4
64466,BHD,14
64201,ON,10
12332,JRC,4
95103,KYN,1
19421,BSB,23
7149,CTC,17
19421,RTM,6
54252,SRE,1
40140,MSB,6
12351,HWH,1
18646,BG,3
22686,MMR,9
12976,ATP,37
12308,JP,7
12436,CPR,7
19034,AKV,14
97016,DR,17
12734,SC,1
11097,ERS,33
55616,SCL,1
11095,BRC,4
22949,BDTS,1
22884,HUP,3
40085,MS,4
57651,SAP,21
12469,LDH,11
97085,DR,8
16360,PNBE,1
20904,BSB,1
19223,MSH,3
12382,ALD,6
18425,MSMD,25
74914,JRC,2
12782,SLI,20
66612,ERN,2
12947,ADI,1
12839,MAS,35
12957,PNU,4
12655,MKU,14
13009,LKO,55
22681,BNC,5
40151,MSB,1
12274,NDLS,1
18005,SBP,26
51702,STA,7
290,JP,3
59023,DDR,2
11096,KYN,4
11018,AJJ,13
15659,SNT,6
16093,NGP,34
64464,PNP,1
22871,EE,14
18609,STA,17
74904,PTK,1
13320,DGHR,20
16203,TRT,5
12676,CBE,1
15011,SRE,16
54076,TLH,36
51401,RRI,22
22136,MYR,3
57271,RGDA,68
12664,MS,9
54005,BGZ,10
12932,NVS,7
97374,TNA,1
12304,PNBE,11
40082,TBM,1
64493,NZM,8
59442,BH,32
12216,BDTS,1
66612,TCR,16
22916,BVI,29
16359,BXR,42
11014,YG,22
12844,VBL,32
12215,DEC,2
69166,PNVL,11
54473,DSB,2
64251,LJN,1
19414,UJA,34
66050,TPTY,1
19302,WHM,16
54622,JUC,18
19420,YA,20
16215,RMGM,7
12178,DHN,30
19313,RJPB,17
59161,BRC,13
97400,TNA,1
58535,RCTC,5
6548,TCR,3
14211,NDLS,18
40349,MSB,1
12340,DHN,1
17406,ZN,24
19168,ON,14
12205,MTC,3
53044,SGG,31
12494,BRC,4
12616,GWL,8
17013,PUNE,1
55311,KPV,9
19107,JUC,14
64091,DSJ,6
99039,PNVL,2
12894,BLGR,1
11022,YPR,14
13288,SKT,44
99011,TNA,1
22181,JBP,1
55677,SCL,1
12264,BRC,4
22607,KJM,12
22664,MSH,9
18206,SLN,9
22617,BNC,2
12166,STA,5
97122,TNA,8
12423,NDLS,22
95104,KJT,1
22942,INDB,16
12609,SBC,19
95709,TNA,9
12621,NZM,11
97151,TNA,17
12627,NDLS,36
12615,FDB,38
66611,PGT,1
22441,ALD,1
54341,SRE,1
40095,TBM,18
11108,PLP,12
11013,AD,16
22866,RIG,10
97108,KYN,1
11096,BH,12
12231,RK,11
12733,NLR,6
12760,HYB,1
19578,PNVL,11
14258,MB,8
12840,BPP,6
12236,CPR,7
15618,GHY,14
59811,FTS,65
12309,RJPB,1
12607,KJM,10
40052,TBM,1
12301,DHN,2
12760,BZA,8
97015,DR,8
95904,TNA,1
11091,VAPI,17
97149,TNA,17
14633,GSP,5
12268,ADI,1
12953,BCT,1
66539,SBC,1
12307,JU,28
40414,TBM,1
69128,ANND,13
40369,TBM,18
16021,BNC,15
16023,MAD,4
11265,SDL,6
64076,FDB,7
22866,BBS,3
97433,TNA,17
12376,TIG,10
95129,KJT,9
12460,PNP,14
9006,BRC,3
64011,NZM,8
12932,ND,2
19326,LDH,4
17604,HUP,5
40066,TBM,1
54307,MB,1
12973,SWM,6
22615,TUP,7
19201,BL,16
97059,KYN,24
50103,DR,1
57271,BZA,1
14041,HPU,6
12074,CTC,2
19413,KOAA,37
55307,RMR,8
56105,RASP,3
12135,MKU,10
40346,MSB,2
12009,ND,8
12943,BL,1
40072,MSB,18
12907,BDTS,1
64466,SNP,8
12333,BARH,11
12877,NDLS,15
19115,BL,5
55314,RMR,1
15647,PNBE,24
66034,NLR,1
97330,TNA,1
19264,MSH,20
16022,MAS,23
14266,BSB,51
22859,MAS,21
96106,KJT,1
15601,SCL,1
12193,JBP,20
40037,TBM,18
11091,KYN,20
19115,AJE,28
95702,KYN,1
12251,KCG,7
13403,RNC,1
59442,VAPI,58
12765,ATP,7
19034,BH,13
54471,RK,32
12030,ASR,1
12391,PWS,14
11036,MYS,1
22833,EE,10
12948,ND,18
15648,PNC,30
13006,LDH,6
13137,KOAA,1
22626,VN,7
290,IDH,12
56651,CAN,40
16557,MAD,4
95716,KYN,1
16105,TBM,2
40395,MSB,1
54314,CH,9
12663,BAM,8
40125,MS,4
59162,BH,20
12332,ASN,31
19202,BSR,17
66014,PUT,6
22684,ATP,27
19308,GWL,10
16501,ST,5
12008,MYS,1
97146,KYN,1
15629,BBS,11
95901,TNA,6
16229,TK,6
19312,INDB,1
16053,AJJ,3
12915,UJA,4
19420,ADI,1
17020,HYB,1
12770,GY,8
12365,RNC,12
19015,SAU,47
19311,BRC,9
97438,TNA,1
43802,AJJ,1
12547,PNU,10
18609,SSM,11
99019,PNVL,2
12358,KOAA,15
40153,MS,4
22860,EE,9
66523,HUP,16
69174,DRD,1
12760,KVZ,12
12763,SC,19
12902,ADI,1
12359,ASN,3
40315,MS,4
12225,DLI,15
40413,MSB,1
12864,BZA,16
12822,BBS,3
12959,BVI,2
64003,BHD,4
12434,WL,8
14056,LKA,51
11088,BSR,6
25014,MB,3
12335,SGG,2
12796,BZA,4
22828,BBS,16
54264,SLN,1
59442,AKV,33
97432,TNA,1
56263,MYS,1
56262,KJM,5
12166,JBP,7
12375,BLGR,19
54633,MET,29
51972,MTJ,13
40383,MS,4
12762,WL,4
97410,TNA,1
12658,MAS,8
22445,RK,6
64003,SNP,10
22954,DDR,26
12875,BSB,27
13151,RK,73
69149,BL,18
13167,AGC,22
12409,BYT,6
22210,BCT,5
12232,RK,6
22135,REWA,16
74919,HSX,1
12145,DNKL,23
40303,MSB,1
14309,SRE,27
14801,JU,1
12216,ADI,7
97036,KYN,1
18304,PURI,1
93031,VR,1
40351,MS,4
15934,DPU,32
76827,TPJ,9
13050,BARH,73
97350,TNA,1
98091,PNVL,2
12875,NDLS,42
13010,SSM,52
40120,MSB,2
11407,ORAI,15
12669,BZA,4
64253,AMS,3
76833,KRR,15
12707,KCG,10
16094,BPP,36
12391,MB,31
12466,RMA,20
98039,PNVL,2
18609,JBP,19
12986,DEC,2
18216,ASR,5
1706,ST,11
19716,CNB,2
97132,KYN,1
97307,TNA,17
98124,PNVL,1
2732,SC,28
15959,DPU,43
12055,RK,7
12724,NDLS,1
19026,NN,7
13134,DURE,10
51702,JBP,26
12226,ON,5
12493,BRC,7
15657,GHY,33
54804,UJA,12
98202,PNVL,1
7149,GHY,37
12670,PPI,10
12320,DHN,8
40137,MSB,1
14795,GHNA,4
12392,SLN,9
19401,MSH,2
64565,NGG,12
7603,MBNR,3
12019,ASN,4
12782,RNR,26
14854,JU,1
40007,MSB,1
19578,CLT,19
12829,AKP,13
19019,LKE,60
12307,ALD,14
40363,TBM,18
14865,CNB,10
17016,TNKU,14
12766,KRY,20
56215,MYS,34
22643,PGT,4
12306,HWH,9
11091,BH,13
97153,TNA,17
12815,NDLS,29
16501,ANND,2
57651,MRGA,13
1705,BVI,2
12228,BRC,4
22949,ADI,9
97402,DR,10
12839,TDD,26
12843,TIG,18
12302,HWH,8
12392,LKO,6
12648,NZM,1
12769,KRY,7
12244,CBE,1
11096,VAPI,8
12968,SJP,12
12877,RNC,1
13005,NGG,43
19019,OKA,78
64558,SRE,1
22644,TUP,37
12821,PURI,15
22126,ASR,1
97076,KYN,1
19264,DEC,2
13156,SMI,1
22683,YPR,1
54251,SAN,7
98041,PNVL,2
18211,RGDA,12
16502,ATP,5
22928,BRC,6
64559,MTC,13
22972,JBP,5
99032,TNA,2
12618,TIR,42
14731,MKS,27
56650,MAHE,7
22607,PTJ,6
54472,DSA,45
12732,GY,6
12459,PNP,3
13156,SPJ,7
57447,KCG,1
13151,KOAA,1
53211,PNBE,1
12905,BYT,21
11035,ASK,23
11077,SMK,45
12960,BHUJ,1
19578,VAPI,9
97399,TNA,17
12816,PURI,29
11087,BSR,20
12494,RTM,3
15933,LDH,35
17063,SC,23
17479,CLX,57
40003,MS,4
12781,AGC,29
66034,TPTY,16
22933,ST,4
51881,GWL,1
12834,VYA,54
19020,ST,84
19015,BVI,3
56238,MAD,12
18464,ATP,9
97416,DR,10
51911,SRE,36
13006,ZNA,36
16558,RMGM,4
12318,BSB,13
58401,RCTC,5
64566,MB,30
57271,PAP,29
12904,ST,32
12845,BZA,11
95113,KYN,1
40362,TBM,1
97313,DR,8
12675,AJJ,2
50103,PEN,15
14055,DBRG,1
12915,MSH,3
19421,BRC,4
79429,ND,2
12381,ALD,17
19403,LKO,17
7430,OGL,5
12979,ADH,2
19168,RDL,10
98068,PNVL,1
97401,TNA,17
17406,ADB,1
14216,LKO,1
93014,DRD,1
12214,DEE,1
12178,GWL,4
19578,AKV,7
12925,FDB,25
12108,CNB,2
12958,GGN,3
97006,DR,17
11265,UMR,4
19056,PMY,3
12161,TNA,2
74916,JRC,2
20904,BRC,11
22872,BBS,19
18216,PTK,2
12102,NGP,11
22909,BBS,22
19403,SLN,20
14864,JP,11
56714,TJ,9
64591,ALD,1
12146,MSMD,16
97425,DR,8
12764,VKI,16
14512,AMRO,10
74835,JU,1
19325,MTJ,11
12733,TPTY,1
12151,NGP,8
22912,HWH,1
18463,BZA,24
12480,BVI,2
19046,JBP,20
22827,ST,18
64592,CNB,1
12646,BZA,14
19708,ADH,38
19055,PNU,11
97069,KYN,24
12837,PURI,14
12980,ST,11
22663,BZA,5
17020,AWB,12
22859,OGL,16
12424,DBRT,22
19308,FDB,6
14681,NDLS,1
22481,DEC,18
22887,BAM,8
12162,MRA,2
12416,INDB,22
14865,ETW,11
19322,PNBE,2
17626,MRGA,14
13005,PNC,13
18612,RNC,30
11204,JP,1
40108,TBM,1
12628,YG,22
16527,CLT,14
64910,NDLS,6
95142,KYN,7
22804,DNKL,6
16518,MYA,16
12497,JUC,12
12463,DEC,2
12617,KZE,18
15648,PPI,43
19408,JP,13
19033,ADI,27
59045,DRD,13
74022,SMQL,1
17019,SC,33
97062,DR,17
12286,SC,6
9006,NDLS,1
40047,MSB,1
22150,CLT,14
40054,MSB,18
54804,MSH,10
98136,PNVL,1
11060,CPR,1
12525,GHY,12
18215,JAT,26
73913,SGG,1
12840,HWH,36
17604,GY,10
74913,HSX,1
12761,KMT,7
13010,RFJ,58
14866,JP,11
22834,KJM,1
54835,HSR,1
13346,SGRL,1
16359,NGP,29
56762,TEN,12
14863,IDH,13
12985,AWR,3
13155,KOAA,1
14732,PUL,10
15602,GHY,10
12264,RTM,3
19027,LDH,29
15929,DMV,44
22629,PGT,17
12121,GWL,6
13009,ASN,9
16507,BSR,21
40077,MSB,1
15904,LKO,6
98156,PNVL,1
22953,BRC,20
97417,TNA,17
12969,SGZ,33
55678,DMR,1
15631,PNC,19
97309,TNA,17
16507,PNU,9
12863,OGL,24
11087,NVS,16
97144,TNA,8
56664,CLT,1
97336,DR,10
19021,BH,6
59038,BL,13
64203,ON,10
11205,MMR,6
12192,MRA,19
14853,JP,27
98129,PNVL,2
14723,SSB,22
12921,ST,14
13166,SMI,1
14645,MUT,7
95708,DR,12
12470,CNB,14
19217,BH,12
66603,CBF,21
11014,AD,18
19015,DDR,2
40381,MS,4
12712,OGL,9
95714,TNA,8
12356,JRC,3
74643,JUC,1
19321,SJP,4
12956,ST,17
54075,TLH,9
97395,DR,8
12416,MTJ,4
19055,ND,7
22865,SBP,11
17406,TPTY,62
22684,PPI,11
18449,BQA,13
19027,BDTS,1
12161,LTT,1
12349,BGP,1
15930,DPU,9
12888,PURI,1
40046,MSB,18
98069,PNVL,2
54342,RK,16
22972,BDTS,14
19414,RTM,21
20889,HWH,1
40360,TBM,1
22812,BBS,14
97106,KYN,1
13167,CPA,15
22959,ADI,11
57652,SC,40
97038,TNA,8
40063,MSB,1
12786,KCG,16
11091,BHUJ,1
19313,LAR,7
12165,ALD,13
12391,BXR,19
12440,RNC,8
12953,SWM,11
12934,BRC,4
12269,NGP,4
12645,NGP,19
17015,SAP,36
12931,BVI,2
16507,ND,13
54612,GSP,7
12918,ADI,10
43805,AJJ,28
54635,SAG,18
95746,DR,7
15159,PLP,18
58701,NGE,16
12215,BRC,14
22432,LDH,5
22664,NDB,13
51754,STA,27
98174,PNVL,1
13050,TLH,26
22911,SSM,24
14512,LKO,17
19201,TDU,3
12834,NGP,33
22531,LJN,13
54836,HSR,21
22863,YPR,12
12423,GHY,8
74002,DEE,17
11701,INDB,16
64470,PNP,1
12722,WRR,32
51421,MMR,34
12731,AD,13
16507,TK,43
12113,NGP,9
97024,TNA,8
40065,TBM,18
22910,RTM,20
40347,MS,4
12291,MAS,7
13152,BSB,61
15112,RSR,9
16229,MMR,23
12985,GGN,4
22943,KJT,4
12875,CTC,5
16792,TCR,3
93003,DRD,2
12887,HWH,1
12921,DRD,5
12235,DBRG,1
12761,BZA,5
12331,HWH,1
22912,STA,20
58406,RCTC,9
58414,PURI,1
11087,ND,11
64533,SMK,16
12951,BVI,2
22919,ADI,12
22864,YPR,1
11101,GWL,23
54806,ADI,81
18610,RNC,29
22607,PGT,5
43820,AJJ,2
97026,KYN,1
56764,TEN,12
22936,ADI,7
22191,INDB,1
74835,LOHA,32
95710,DR,12
22992,BRC,8
57272,NZD,65
56001,AJJ,6
4992,SJNP,12
7149,AKP,11
97123,KYN,17
22960,ADI,11
19312,CCH,16
73916,SGG,2
19218,BH,20
11125,SFY,5
22887,CTC,5
53497,SGG,8
14265,BSB,1
19019,GDA,20
97037,TNA,17
54633,SSA,1
13049,BSB,59
69109,AKV,10
54805,UJA,14
14309,AGC,17
12194,GWD,14
13064,GRMP,2
98132,PNVL,1
56503,GY,33
19717,JP,1
54424,DKZ,22
97136,DR,17
19055,NVS,2
18203,MYR,12
12815,CTC,4
16184,PRT,11
12876,ETW,6
6001,MS,1
19325,INDB,1
12916,PNU,16
18426,TIG,10
12711,BPP,4
22663,KMT,6
12415,UJN,3
16558,SBC,1
64253,CNB,13
16507,NVS,18
56261,BNCE,41
19413,ASN,35
22935,PIT,12
19201,SC,1
12352,HWH,23
95707,TNA,9
97378,DR,10
11013,YG,12
17064,MMR,23
95737,KYN,14
12683,SA,9
64096,DSJ,9
12232,LKO,16
97328,TNA,1
51973,AWR,13
59440,VR,63
15960,DPU,14
16792,ERN,5
11036,SLI,20
20814,JP,6
12032,JUC,3
56224,ASK,1
57550,AWB,1
11078,MTJ,30
97039,KYN,24
40036,TBM,1
15666,DPU,2
40399,MSB,1
12254,YPR,29
66523,YNK,6
12880,NGP,13
22878,OGL,10
96110,KJT,1
13151,LKO,51
15206,MYR,5
40139,TBM,18
12286,NGP,4
12375,SBP,21
64018,DSB,5
19713,WHM,23
22443,BVI,21
22935,ST,4
40101,TBM,18
13161,KOAA,1
97330,DR,10
69150,DRD,35
12961,ST,5
12905,PBR,1
22443,CNB,1
12922,VAPI,9
19215,ANND,37
22955,AKV,7
98079,PNVL,2
19301,NZB,22
13151,JRC,85
22429,GSP,13
12663,CTC,5
15647,DURE,21
22431,LDH,14
16508,TTR,4
12219,PUNE,2
98065,PNVL,2
16058,PUT,3
22444,BRC,6
12417,CNB,3
50103,TNA,2
97090,KYN,1
59440,BCT,66
22482,DEE,1
97433,DR,8
12248,BRC,5
13161,BLGT,12
56262,VN,22
17020,BHL,28
19116,ST,22
16508,JU,45
8628,RNC,1
57550,HYB,57
12418,CNB,5
19577,RN,18
12267,BCT,1
12236,DMV,22
12252,KRBA,1
95904,DR,5
97149,DR,8
19714,RMA,26
12844,BH,5
11088,NVS,10
12164,WADI,15
97130,KYN,1
22910,DNKL,4
11102,GWL,1
12655,BPP,34
12959,DDR,1
19215,DRD,9
97032,KYN,1
12239,BRC,2
12252,MBNR,20
22892,JGM,12
12029,JUC,6
12833,BYT,45
19167,ADI,1
290,SWM,5
22626,KJM,3
97015,TNA,17
12163,SDB,7
12333,PNC,14
12603,SC,21
12936,ST,1
95709,DR,3
22955,VAPI,3
54420,DEE,17
14310,NZM,9
16508,BH,30
64910,DKZ,4
12656,BPP,8
97151,DR,8
11078,JRC,9
67264,SC,3
12821,SORO,8
12412,ASR,1
18406,DNKL,36
40058,MS,15
12319,ASN,3
12549,DSJ,13
97122,DR,17
54076,DSA,2
64204,LKO,13
12944,BL,12
22915,HSR,30
12876,CNB,7
40368,TBM,1
16508,KYN,23
97400,DR,10
22417,BSB,1
12954,BVI,11
54637,HSX,1
12684,SBC,1
74915,JUC,7
12712,MAS,1
22209,RTM,3
22956,AKV,16
55615,SCL,33
64559,DLI,1
98062,PNVL,1
64017,OKA,7
19202,ND,9
11125,SVPI,10
18413,BBS,8
22643,ASN,34
69150,ST,11
12410,PAR,18
14732,KUN,21
40016,MSB,18
22209,NDLS,5
59040,VR,14
63263,RPR,16
12704,BZA,7
19116,DRD,27
20814,BBS,40
15929,TBM,1
12618,MTJ,3
14164,FZD,10
12145,CTC,24
22417,NDLS,9
12346,HWH,13
12206,MTC,5
12502,CNB,2
18216,SDL,20
97374,DR,10
12479,PNU,9
12973,JP,8
22954,BVI,25
12247,BDTS,1
12358,LKO,7
12224,LTT,6
16527,TUP,8
64003,NDLS,1
64560,SRE,1
12954,NZM,1
79430,ANND,5
98095,PNVL,2
74023,SMQL,24
19215,ST,23
22967,NDB,7
