flight_number,airline,origin_cityname,destination_cityname
395,GoAir,Mumbai,Lucknow
395,GoAir,Mumbai,Lucknow
395,GoAir,Mumbai,Lucknow
497,GoAir,Mumbai,Lucknow
731,GoAir,Ahmedabad,Lucknow
669,GoAir,Ahmedabad,Lucknow
805,GoAir,Bengaluru,Lucknow
808,GoAir,Bengaluru,Lucknow
808,GoAir,Bengaluru,Lucknow
805,GoAir,Bengaluru,Lucknow
581,GoAir,Hyderabad,Kochi
701,GoAir,Hyderabad,Kochi
591,GoAir,Hyderabad,Kochi
347,GoAir,Mumbai,Kochi
347,GoAir,Mumbai,Kochi
347,GoAir,Mumbai,Kochi
336,GoAir,Mumbai,Kochi
701,GoAir,Ahmedabad,Kochi
729,GoAir,Ahmedabad,Kochi
701,GoAir,Ahmedabad,Kochi
411,GoAir,Bengaluru,Kochi
594,GoAir,Pune,Kochi
594,GoAir,Pune,Kochi
592,GoAir,Goa,Kochi
943,GoAir,Kolkata,Kochi
530,GoAir,Delhi,Mumbai
334,GoAir,Delhi,Mumbai
448,GoAir,Delhi,Mumbai
336,GoAir,Delhi,Mumbai
336,GoAir,Delhi,Mumbai
640,GoAir,Delhi,Mumbai
446,GoAir,Delhi,Mumbai
428,GoAir,Delhi,Mumbai
544,GoAir,Delhi,Mumbai
544,GoAir,Delhi,Mumbai
544,GoAir,Delhi,Mumbai
544,GoAir,Delhi,Mumbai
247,GoAir,Bhubaneswar,Mumbai
141,GoAir,Nagpur,Mumbai
464,GoAir,Lucknow,Mumbai
404,GoAir,Lucknow,Mumbai
404,GoAir,Lucknow,Mumbai
404,GoAir,Lucknow,Mumbai
396,GoAir,Lucknow,Mumbai
468,GoAir,Kochi,Mumbai
468,GoAir,Kochi,Mumbai
345,GoAir,Kochi,Mumbai
586,GoAir,Patna,Mumbai
465,GoAir,Port Blair,Mumbai
364,GoAir,Ahmedabad,Mumbai
459,GoAir,Ahmedabad,Mumbai
368,GoAir,Ahmedabad,Mumbai
413,GoAir,Ahmedabad,Mumbai
413,GoAir,Ahmedabad,Mumbai
459,GoAir,Ahmedabad,Mumbai
537,GoAir,Ahmedabad,Mumbai
388,GoAir,Jaipur,Mumbai
388,GoAir,Jaipur,Mumbai
388,GoAir,Jaipur,Mumbai
492,GoAir,Jaipur,Mumbai
418,GoAir,Bengaluru,Mumbai
395,GoAir,Bengaluru,Mumbai
520,GoAir,Bengaluru,Mumbai
520,GoAir,Bengaluru,Mumbai
426,GoAir,Bengaluru,Mumbai
418,GoAir,Bengaluru,Mumbai
395,GoAir,Bengaluru,Mumbai
706,GoAir,Ranchi,Mumbai
706,GoAir,Ranchi,Mumbai
706,GoAir,Ranchi,Mumbai
484,GoAir,Ranchi,Mumbai
582,GoAir,Chandigarh,Mumbai
582,GoAir,Chandigarh,Mumbai
582,GoAir,Chandigarh,Mumbai
302,GoAir,Chennai,Mumbai
304,GoAir,Chennai,Mumbai
380,GoAir,Goa,Mumbai
381,GoAir,Goa,Mumbai
478,GoAir,Goa,Mumbai
372,GoAir,Goa,Mumbai
512,GoAir,Kolkata,Mumbai
287,GoAir,Srinagar,Mumbai
710,GoAir,Delhi,Leh
220,GoAir,Delhi,Leh
205,GoAir,Jammu,Leh
472,GoAir,Hyderabad,Patna
135,GoAir,Delhi,Patna
135,GoAir,Delhi,Patna
140,GoAir,Delhi,Patna
140,GoAir,Delhi,Patna
140,GoAir,Delhi,Patna
131,GoAir,Delhi,Patna
131,GoAir,Delhi,Patna
149,GoAir,Delhi,Patna
217,GoAir,Delhi,Patna
217,GoAir,Delhi,Patna
737,GoAir,Bhubaneswar,Patna
471,GoAir,Nagpur,Patna
517,GoAir,Nagpur,Patna
585,GoAir,Mumbai,Patna
272,GoAir,Bengaluru,Patna
274,GoAir,Bengaluru,Patna
274,GoAir,Bengaluru,Patna
373,GoAir,Bengaluru,Patna
761,GoAir,Kolkata,Patna
461,GoAir,Mumbai,Port Blair
802,GoAir,Bengaluru,Port Blair
802,GoAir,Bengaluru,Port Blair
802,GoAir,Bengaluru,Port Blair
802,GoAir,Bengaluru,Port Blair
802,GoAir,Bengaluru,Port Blair
802,GoAir,Bengaluru,Port Blair
305,GoAir,Chennai,Port Blair
101,GoAir,Kolkata,Port Blair
551,GoAir,Hyderabad,Ahmedabad
554,GoAir,Hyderabad,Ahmedabad
554,GoAir,Hyderabad,Ahmedabad
719,GoAir,Delhi,Ahmedabad
717,GoAir,Delhi,Ahmedabad
713,GoAir,Delhi,Ahmedabad
805,GoAir,Lucknow,Ahmedabad
732,GoAir,Lucknow,Ahmedabad
730,GoAir,Kochi,Ahmedabad
702,GoAir,Kochi,Ahmedabad
730,GoAir,Kochi,Ahmedabad
365,GoAir,Mumbai,Ahmedabad
569,GoAir,Mumbai,Ahmedabad
412,GoAir,Mumbai,Ahmedabad
701,GoAir,Jaipur,Ahmedabad
801,GoAir,Bengaluru,Ahmedabad
801,GoAir,Bengaluru,Ahmedabad
803,GoAir,Bengaluru,Ahmedabad
801,GoAir,Bengaluru,Ahmedabad
801,GoAir,Bengaluru,Ahmedabad
514,GoAir,Chandigarh,Ahmedabad
912,GoAir,Chandigarh,Ahmedabad
451,GoAir,Pune,Ahmedabad
911,GoAir,Chennai,Ahmedabad
911,GoAir,Chennai,Ahmedabad
794,GoAir,Goa,Ahmedabad
537,GoAir,Kolkata,Ahmedabad
430,GoAir,Hyderabad,Jaipur
390,GoAir,Mumbai,Jaipur
390,GoAir,Mumbai,Jaipur
390,GoAir,Mumbai,Jaipur
390,GoAir,Mumbai,Jaipur
391,GoAir,Mumbai,Jaipur
702,GoAir,Ahmedabad,Jaipur
702,GoAir,Ahmedabad,Jaipur
383,GoAir,Chennai,Jaipur
701,GoAir,Kolkata,Jaipur
291,GoAir,Hyderabad,Bengaluru
896,GoAir,Hyderabad,Bengaluru
113,GoAir,Delhi,Bengaluru
120,GoAir,Delhi,Bengaluru
557,GoAir,Delhi,Bengaluru
811,GoAir,Nagpur,Bengaluru
810,GoAir,Nagpur,Bengaluru
807,GoAir,Lucknow,Bengaluru
806,GoAir,Lucknow,Bengaluru
806,GoAir,Lucknow,Bengaluru
410,GoAir,Kochi,Bengaluru
517,GoAir,Mumbai,Bengaluru
517,GoAir,Mumbai,Bengaluru
323,GoAir,Mumbai,Bengaluru
323,GoAir,Mumbai,Bengaluru
323,GoAir,Mumbai,Bengaluru
323,GoAir,Mumbai,Bengaluru
323,GoAir,Mumbai,Bengaluru
396,GoAir,Mumbai,Bengaluru
525,GoAir,Mumbai,Bengaluru
273,GoAir,Patna,Bengaluru
273,GoAir,Patna,Bengaluru
375,GoAir,Patna,Bengaluru
271,GoAir,Patna,Bengaluru
803,GoAir,Port Blair,Bengaluru
803,GoAir,Port Blair,Bengaluru
802,GoAir,Ahmedabad,Bengaluru
802,GoAir,Ahmedabad,Bengaluru
805,GoAir,Ahmedabad,Bengaluru
804,GoAir,Ahmedabad,Bengaluru
802,GoAir,Ahmedabad,Bengaluru
802,GoAir,Ahmedabad,Bengaluru
804,GoAir,Ahmedabad,Bengaluru
273,GoAir,Ranchi,Bengaluru
272,GoAir,Ranchi,Bengaluru
375,GoAir,Ranchi,Bengaluru
375,GoAir,Ranchi,Bengaluru
844,GoAir,Chandigarh,Bengaluru
293,GoAir,Pune,Bengaluru
293,GoAir,Pune,Bengaluru
895,GoAir,Pune,Bengaluru
242,GoAir,Pune,Bengaluru
284,GoAir,Pune,Bengaluru
403,GoAir,Guwahati,Bengaluru
286,GoAir,Goa,Bengaluru
830,GoAir,Kolkata,Bengaluru
143,GoAir,Delhi,Ranchi
143,GoAir,Delhi,Ranchi
143,GoAir,Delhi,Ranchi
245,GoAir,Delhi,Ranchi
237,GoAir,Delhi,Ranchi
145,GoAir,Delhi,Ranchi
898,GoAir,Nagpur,Ranchi
705,GoAir,Mumbai,Ranchi
705,GoAir,Mumbai,Ranchi
705,GoAir,Mumbai,Ranchi
483,GoAir,Mumbai,Ranchi
272,GoAir,Patna,Ranchi
782,GoAir,Ahmedabad,Ranchi
374,GoAir,Bengaluru,Ranchi
374,GoAir,Bengaluru,Ranchi
381,GoAir,Mumbai,Chandigarh
381,GoAir,Mumbai,Chandigarh
381,GoAir,Mumbai,Chandigarh
514,GoAir,Patna,Chandigarh
911,GoAir,Ahmedabad,Chandigarh
515,GoAir,Ahmedabad,Chandigarh
911,GoAir,Ahmedabad,Chandigarh
373,GoAir,Goa,Chandigarh
912,GoAir,Srinagar,Chandigarh
173,GoAir,Delhi,Pune
173,GoAir,Delhi,Pune
173,GoAir,Delhi,Pune
173,GoAir,Delhi,Pune
275,GoAir,Delhi,Pune
175,GoAir,Delhi,Pune
891,GoAir,Nagpur,Pune
284,GoAir,Nagpur,Pune
593,GoAir,Kochi,Pune
633,GoAir,Ahmedabad,Pune
633,GoAir,Ahmedabad,Pune
283,GoAir,Bengaluru,Pune
283,GoAir,Bengaluru,Pune
893,GoAir,Bengaluru,Pune
241,GoAir,Bengaluru,Pune
292,GoAir,Bengaluru,Pune
283,GoAir,Bengaluru,Pune
451,GoAir,Chennai,Pune
394,GoAir,Kolkata,Pune
394,GoAir,Kolkata,Pune
394,GoAir,Kolkata,Pune
414,GoAir,Hyderabad,Guwahati
151,GoAir,Delhi,Guwahati
151,GoAir,Delhi,Guwahati
402,GoAir,Nagpur,Guwahati
155,GoAir,Bagdogra,Guwahati
153,GoAir,Bagdogra,Guwahati
402,GoAir,Bengaluru,Guwahati
951,GoAir,Chennai,Guwahati
401,GoAir,Kolkata,Guwahati
532,GoAir,Kolkata,Guwahati
954,GoAir,Hyderabad,Chennai
310,GoAir,Bhubaneswar,Chennai
982,GoAir,Bagdogra,Chennai
305,GoAir,Mumbai,Chennai
305,GoAir,Mumbai,Chennai
303,GoAir,Mumbai,Chennai
956,GoAir,Patna,Chennai
304,GoAir,Port Blair,Chennai
913,GoAir,Ahmedabad,Chennai
1425,GoAir,Ahmedabad,Chennai
912,GoAir,Ahmedabad,Chennai
922,GoAir,Pune,Chennai
633,GoAir,Pune,Chennai
382,GoAir,Guwahati,Chennai
416,GoAir,Guwahati,Chennai
635,GoAir,Ahmedabad,Kannur
622,GoAir,Bengaluru,Kannur
205,GoAir,Delhi,Jammu
205,GoAir,Delhi,Jammu
205,GoAir,Delhi,Jammu
205,GoAir,Delhi,Jammu
185,GoAir,Delhi,Jammu
287,GoAir,Mumbai,Jammu
287,GoAir,Mumbai,Jammu
287,GoAir,Mumbai,Jammu
205,GoAir,Leh,Jammu
213,GoAir,Srinagar,Jammu
661,GoAir,Hyderabad,Goa
367,GoAir,Hyderabad,Goa
571,GoAir,Hyderabad,Goa
286,GoAir,Delhi,Goa
286,GoAir,Delhi,Goa
286,GoAir,Delhi,Goa
834,GoAir,Nagpur,Goa
591,GoAir,Kochi,Goa
575,GoAir,Mumbai,Goa
141,GoAir,Mumbai,Goa
371,GoAir,Mumbai,Goa
384,GoAir,Mumbai,Goa
793,GoAir,Ahmedabad,Goa
793,GoAir,Ahmedabad,Goa
913,GoAir,Ahmedabad,Goa
913,GoAir,Ahmedabad,Goa
285,GoAir,Bengaluru,Goa
285,GoAir,Bengaluru,Goa
367,GoAir,Chandigarh,Goa
592,GoAir,Kolkata,Goa
123,GoAir,Hyderabad,Kolkata
122,GoAir,Hyderabad,Kolkata
101,GoAir,Delhi,Kolkata
127,GoAir,Delhi,Kolkata
105,GoAir,Delhi,Kolkata
761,GoAir,Bhubaneswar,Kolkata
407,GoAir,Bhubaneswar,Kolkata
537,GoAir,Bagdogra,Kolkata
537,GoAir,Bagdogra,Kolkata
942,GoAir,Kochi,Kolkata
511,GoAir,Mumbai,Kolkata
762,GoAir,Patna,Kolkata
102,GoAir,Port Blair,Kolkata
532,GoAir,Ahmedabad,Kolkata
532,GoAir,Ahmedabad,Kolkata
532,GoAir,Ahmedabad,Kolkata
532,GoAir,Ahmedabad,Kolkata
1311,GoAir,Ahmedabad,Kolkata
702,GoAir,Jaipur,Kolkata
117,GoAir,Bengaluru,Kolkata
831,GoAir,Bengaluru,Kolkata
830,GoAir,Bengaluru,Kolkata
830,GoAir,Bengaluru,Kolkata
393,GoAir,Pune,Kolkata
393,GoAir,Pune,Kolkata
393,GoAir,Pune,Kolkata
546,GoAir,Guwahati,Kolkata
406,GoAir,Guwahati,Kolkata
406,GoAir,Guwahati,Kolkata
925,GoAir,Chennai,Kolkata
591,GoAir,Goa,Kolkata
128,GoAir,Delhi,Srinagar
128,GoAir,Delhi,Srinagar
213,GoAir,Delhi,Srinagar
213,GoAir,Delhi,Srinagar
223,GoAir,Delhi,Srinagar
223,GoAir,Delhi,Srinagar
911,GoAir,Chandigarh,Srinagar
287,GoAir,Jammu,Srinagar
697,GoAir,Jammu,Srinagar
560,Air India,Delhi,Hyderabad
542,Air India,Delhi,Hyderabad
544,Air India,Delhi,Hyderabad
544,Air India,Delhi,Hyderabad
544,Air India,Delhi,Hyderabad
839,Air India,Delhi,Hyderabad
776,Air India,Bhubaneswar,Hyderabad
615,Air India,Mumbai,Hyderabad
617,Air India,Mumbai,Hyderabad
619,Air India,Mumbai,Hyderabad
951,Air India,Visakhapatnam,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
516,Air India,Bengaluru,Hyderabad
840,Air India,Vijayawada,Hyderabad
514,Air India,Pune,Hyderabad
541,Air India,Tirupati,Hyderabad
545,Air India,Chennai,Hyderabad
545,Air India,Chennai,Hyderabad
526,Air India,Kolkata,Hyderabad
526,Air India,Kolkata,Hyderabad
526,Air India,Kolkata,Hyderabad
526,Air India,Kolkata,Hyderabad
526,Air India,Kolkata,Hyderabad
667,Air India,Mumbai,Thiruvananthapuram
583,Air India,Bengaluru,Thiruvananthapuram
583,Air India,Bengaluru,Thiruvananthapuram
559,Air India,Hyderabad,Delhi
543,Air India,Hyderabad,Delhi
541,Air India,Hyderabad,Delhi
840,Air India,Hyderabad,Delhi
433,Air India,Varanasi,Delhi
405,Air India,Varanasi,Delhi
405,Air India,Varanasi,Delhi
428,Air India,Varanasi,Delhi
405,Air India,Varanasi,Delhi
78,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
76,Air India,Bhubaneswar,Delhi
474,Air India,Bhubaneswar,Delhi
474,Air India,Bhubaneswar,Delhi
470,Air India,Nagpur,Delhi
469,Air India,Nagpur,Delhi
442,Air India,Aurangabad,Delhi
442,Air India,Aurangabad,Delhi
498,Air India,Rajkot,Delhi
496,Air India,Rajkot,Delhi
880,Air India,Bagdogra,Delhi
880,Air India,Bagdogra,Delhi
412,Air India,Lucknow,Delhi
432,Air India,Lucknow,Delhi
812,Air India,Lucknow,Delhi
466,Air India,Kochi,Delhi
511,Air India,Kochi,Delhi
864,Air India,Mumbai,Delhi
806,Air India,Mumbai,Delhi
866,Air India,Mumbai,Delhi
809,Air India,Mumbai,Delhi
677,Air India,Mumbai,Delhi
687,Air India,Mumbai,Delhi
660,Air India,Mumbai,Delhi
888,Air India,Mumbai,Delhi
452,Air India,Visakhapatnam,Delhi
486,Air India,Visakhapatnam,Delhi
488,Air India,Visakhapatnam,Delhi
454,Air India,Amritsar,Delhi
462,Air India,Amritsar,Delhi
454,Air India,Amritsar,Delhi
118,Air India,Amritsar,Delhi
118,Air India,Amritsar,Delhi
118,Air India,Amritsar,Delhi
113,Air India,Amritsar,Delhi
113,Air India,Amritsar,Delhi
462,Air India,Amritsar,Delhi
115,Air India,Amritsar,Delhi
115,Air India,Amritsar,Delhi
3420,Air India,Leh,Delhi
3450,Air India,Leh,Delhi
446,Air India,Leh,Delhi
446,Air India,Leh,Delhi
446,Air India,Leh,Delhi
890,Air India,Imphal,Delhi
410,Air India,Patna,Delhi
408,Air India,Patna,Delhi
416,Air India,Patna,Delhi
476,Air India,Jodhpur,Delhi
486,Air India,Port Blair,Delhi
492,Air India,Jaipur,Delhi
804,Air India,Bengaluru,Delhi
804,Air India,Bengaluru,Delhi
505,Air India,Bengaluru,Delhi
501,Air India,Bengaluru,Delhi
503,Air India,Bengaluru,Delhi
503,Air India,Bengaluru,Delhi
804,Air India,Bengaluru,Delhi
804,Air India,Bengaluru,Delhi
505,Air India,Bengaluru,Delhi
501,Air India,Bengaluru,Delhi
460,Air India,Vijayawada,Delhi
468,Air India,Vijayawada,Delhi
418,Air India,Ranchi,Delhi
635,Air India,Indore,Delhi
820,Air India,Vadodara,Delhi
820,Air India,Vadodara,Delhi
820,Air India,Vadodara,Delhi
820,Air India,Vadodara,Delhi
820,Air India,Vadodara,Delhi
478,Air India,Raipur,Delhi
478,Air India,Raipur,Delhi
464,Air India,Chandigarh,Delhi
464,Air India,Chandigarh,Delhi
852,Air India,Pune,Delhi
850,Air India,Pune,Delhi
854,Air India,Pune,Delhi
472,Air India,Udaipur,Delhi
3427,Air India,Guwahati,Delhi
890,Air India,Guwahati,Delhi
892,Air India,Guwahati,Delhi
440,Air India,Chennai,Delhi
430,Air India,Chennai,Delhi
539,Air India,Chennai,Delhi
494,Air India,Surat,Delhi
490,Air India,Surat,Delhi
3426,Air India,Jammu,Delhi
822,Air India,Jammu,Delhi
436,Air India,Bhopal,Delhi
436,Air India,Bhopal,Delhi
438,Air India,Bhopal,Delhi
414,Air India,Goa,Delhi
414,Air India,Goa,Delhi
763,Air India,Kolkata,Delhi
701,Air India,Kolkata,Delhi
828,Air India,Srinagar,Delhi
826,Air India,Srinagar,Delhi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
406,Air India,Delhi,Varanasi
427,Air India,Delhi,Varanasi
433,Air India,Gaya,Varanasi
695,Air India,Mumbai,Varanasi
405,Air India,Khajuraho,Varanasi
422,Air India,Kolkata,Varanasi
422,Air India,Kolkata,Varanasi
780,Air India,Hyderabad,Bhubaneswar
473,Air India,Delhi,Bhubaneswar
473,Air India,Delhi,Bhubaneswar
473,Air India,Delhi,Bhubaneswar
669,Air India,Mumbai,Bhubaneswar
738,Air India,Bengaluru,Bhubaneswar
738,Air India,Bengaluru,Bhubaneswar
776,Air India,Kolkata,Bhubaneswar
581,Air India,Mumbai,Calicut
469,Air India,Delhi,Nagpur
627,Air India,Mumbai,Nagpur
629,Air India,Mumbai,Nagpur
478,Air India,Raipur,Nagpur
441,Air India,Delhi,Aurangabad
442,Air India,Mumbai,Aurangabad
671,Air India,Chennai,Madurai
497,Air India,Delhi,Rajkot
495,Air India,Delhi,Rajkot
655,Air India,Mumbai,Rajkot
879,Air India,Delhi,Bagdogra
721,Air India,Kolkata,Bagdogra
433,Air India,Delhi,Gaya
433,Air India,Delhi,Gaya
709,Air India,Kolkata,Dimapur
709,Air India,Kolkata,Dimapur
411,Air India,Delhi,Lucknow
431,Air India,Delhi,Lucknow
811,Air India,Delhi,Lucknow
625,Air India,Mumbai,Lucknow
466,Air India,Thiruvananthapuram,Kochi
512,Air India,Delhi,Kochi
512,Air India,Delhi,Kochi
681,Air India,Mumbai,Kochi
681,Air India,Mumbai,Kochi
509,Air India,Chennai,Kochi
620,Air India,Hyderabad,Mumbai
616,Air India,Hyderabad,Mumbai
618,Air India,Hyderabad,Mumbai
668,Air India,Thiruvananthapuram,Mumbai
887,Air India,Delhi,Mumbai
665,Air India,Delhi,Mumbai
678,Air India,Delhi,Mumbai
865,Air India,Delhi,Mumbai
863,Air India,Delhi,Mumbai
624,Air India,Delhi,Mumbai
805,Air India,Delhi,Mumbai
696,Air India,Varanasi,Mumbai
670,Air India,Bhubaneswar,Mumbai
582,Air India,Calicut,Mumbai
628,Air India,Nagpur,Mumbai
630,Air India,Nagpur,Mumbai
441,Air India,Aurangabad,Mumbai
441,Air India,Aurangabad,Mumbai
656,Air India,Rajkot,Mumbai
626,Air India,Lucknow,Mumbai
682,Air India,Kochi,Mumbai
651,Air India,Visakhapatnam,Mumbai
650,Air India,Amritsar,Mumbai
650,Air India,Amritsar,Mumbai
646,Air India,Jodhpur,Mumbai
614,Air India,Ahmedabad,Mumbai
614,Air India,Ahmedabad,Mumbai
612,Air India,Jaipur,Mumbai
640,Air India,Bengaluru,Mumbai
640,Air India,Bengaluru,Mumbai
604,Air India,Bengaluru,Mumbai
608,Air India,Bengaluru,Mumbai
610,Air India,Bengaluru,Mumbai
640,Air India,Bengaluru,Mumbai
640,Air India,Bengaluru,Mumbai
604,Air India,Bengaluru,Mumbai
636,Air India,Indore,Mumbai
642,Air India,Chandigarh,Mumbai
642,Air India,Chandigarh,Mumbai
642,Air India,Chandigarh,Mumbai
644,Air India,Udaipur,Mumbai
569,Air India,Chennai,Mumbai
672,Air India,Chennai,Mumbai
672,Air India,Chennai,Mumbai
672,Air India,Chennai,Mumbai
672,Air India,Chennai,Mumbai
507,Air India,Hubli,Mumbai
658,Air India,Coimbatore,Mumbai
634,Air India,Bhopal,Mumbai
632,Air India,Bhopal,Mumbai
684,Air India,Goa,Mumbai
664,Air India,Goa,Mumbai
662,Air India,Goa,Mumbai
676,Air India,Kolkata,Mumbai
773,Air India,Kolkata,Mumbai
773,Air India,Kolkata,Mumbai
773,Air India,Kolkata,Mumbai
773,Air India,Kolkata,Mumbai
773,Air India,Kolkata,Mumbai
680,Air India,Mangalore,Mumbai
485,Air India,Delhi,Visakhapatnam
487,Air India,Delhi,Visakhapatnam
451,Air India,Delhi,Visakhapatnam
486,Air India,Port Blair,Visakhapatnam
488,Air India,Port Blair,Visakhapatnam
651,Air India,Raipur,Visakhapatnam
453,Air India,Delhi,Amritsar
461,Air India,Delhi,Amritsar
649,Air India,Mumbai,Amritsar
3419,Air India,Delhi,Leh
3449,Air India,Delhi,Leh
445,Air India,Delhi,Leh
458,Air India,Chandigarh,Leh
450,Air India,Jammu,Leh
447,Air India,Srinagar,Leh
889,Air India,Delhi,Imphal
889,Air India,Guwahati,Imphal
